Species,Min Elevation Bracket,Max Elevation Bracket
Abatia parviflora,1900-1999,3300-3399
Acalypha cuneata,100-199,1200-1299
Acalypha diversifolia,100-199,3200-3299
Acalypha macrostachya,100-199,3300-3399
Acalypha stricta,1500-1599,1500-1599
Achatocarpus nigricans,100-199,1900-1999
Adenocalymma aspericarpum,100-199,1400-1499
Aegiphila alba,200-299,2100-2199
Aegiphila bogotensis,300-399,3100-3199
Aegiphila cuatrecasasii,500-599,2300-2399
Aegiphila integrifolia,100-199,2300-2399
Aegiphila laeta,100-199,2500-2599
Aegiphila panamensis,100-199,1600-1699
Aequatorium jamesonii,3100-3199,3400-3499
Ageratina boyacensis,2600-2699,3100-3199
Ageratina glyptophlebia,2500-2599,4000-4099
Ageratina popayanensis,100-199,3700-3799
Ageratina tinifolia,1300-1399,3900-3999
Agouticarpa williamsii,300-399,2600-2699
Aiouea dubia,1100-1199,3100-3199
Aiphanes hirsuta,200-299,1900-1999
Aiphanes horrida,200-299,2600-2699
Aiphanes linearis,1600-1699,2600-2699
Aiphanes parvifolia,700-799,1600-1699
Albizia carbonaria,300-399,2400-2499
Albizia niopoides,200-299,1600-1699
Albizia subdimidiata,300-399,1000-1099
Alchornea acutifolia,1300-1399,2700-2799
Alchornea bogotensis,2000-2099,2600-2699
Alchornea brittonii,1300-1399,1700-1799
Alchornea coelophylla,1100-1199,2800-2899
Alchornea costaricensis,100-199,1800-1899
Alchornea floribunda,500-599,1000-1099
Alchornea glandulosa,100-199,2700-2799
Alchornea grandiflora,300-399,2800-2899
Alchornea grandis,400-499,2300-2399
Alchornea latifolia,300-399,2400-2499
Alchornea megalophylla,500-599,1500-1599
Alchornea pearcei,1600-1699,2000-2099
Alchornea triplinervia,100-199,2800-2899
Alchornea verticillata,1200-1299,2800-2899
Alchorneopsis floribunda,100-199,3800-3899
Alfaroa colombiana,1000-1099,2600-2699
Alfaroa williamsii,1000-1099,2300-2399
Alibertia bertierifolia,100-199,200-299
Allomaieta hirsuta,1500-1599,2600-2699
Allomaieta pancurana,500-599,1400-1499
Allomaieta villosa,1500-1599,2400-2499
Allophylus amazonicus,300-399,400-499
Allophylus edulis,400-499,500-599
Allophylus excelsus,800-899,3000-3099
Allophylus floribundus,200-299,500-599
Allophylus loretensis,600-699,600-699
Allophylus psilospermus,100-199,1000-1099
Allophylus punctatus,200-299,1100-1199
Alnus acuminata,1400-1499,3400-3499
Alseis blackiana,100-199,700-799
Chrysophyllum venezuelanense,300-399,900-999
Ciliosemina pedunculata,100-199,2400-2499
Ciliosemina purdieana,100-199,500-599
Cinchona antioquiae,1900-1999,2600-2699
Cinchona macrocalyx,1400-1499,1400-1499
Cinchona officinalis,1400-1499,2900-2999
Cinchona pubescens,300-399,3300-3399
Cinchonopsis amazonica,200-299,200-299
Cissus trianae,200-299,2800-2899
Citharexylum montanum,2000-2099,2400-2499
