Species,Min Elevation Bracket,Max Elevation Bracket
Abatia parviflora,500-599,3200-3299
Acalypha cuneata,100-199,3200-3299
Acalypha diversifolia,100-199,3800-3899
Acalypha macrostachya,100-199,2000-2099
Acalypha stenoloba,100-199,2500-2599
Acalypha stricta,100-199,1000-1099
Achatocarpus pubescens,400-499,800-899
Actinostemon concolor,300-399,300-399
Aegiphila aculeifera,2300-2399,2300-2399
Aegiphila alba,100-199,2900-2999
Aegiphila bogotensis,500-599,3200-3299
Aegiphila cuatrecasasii,900-999,2600-2699
Aegiphila integrifolia,100-199,1600-1699
Aegiphila lopez-palacii,1700-1799,1700-1799
Aegiphila monticola,2100-2199,3300-3399
Aegiphila panamensis,100-199,2100-2199
Aequatorium jamesonii,2800-2899,3800-3899
Ageratina tinifolia,3000-3099,3100-3199
Agonandra excelsa,600-699,1700-1799
Agonandra peruviana,200-299,800-899
Agonandra silvatica,100-199,600-699
Agouticarpa williamsii,700-799,2400-2499
Aiouea dubia,2000-2099,3000-3099
Aiouea formicaria,1700-1799,2400-2499
Aiouea grandifolia,100-199,100-199
Aiouea palaciosii,1300-1399,3000-3099
Aiphanes horrida,500-599,500-599
Albizia multiflora,400-499,1100-1199
Albizia niopoides,100-199,1000-1099
Albizia subdimidiata,200-299,200-299
Alchornea acutifolia,300-399,2700-2799
Alchornea bogotensis,2000-2099,2400-2499
Alchornea brittonii,800-899,800-899
Alchornea coelophylla,800-899,2200-2299
Alchornea costaricensis,600-699,1000-1099
Alchornea floribunda,1800-1899,1800-1899
Alchornea glandulosa,100-199,2600-2699
Alchornea grandiflora,200-299,2300-2399
Alchornea grandis,600-699,2400-2499
Alchornea latifolia,100-199,2300-2399
Alchornea pearcei,1600-1699,2400-2499
Alchornea triplinervia,100-199,3000-3099
Alchorneopsis floribunda,100-199,1800-1899
Alibertia bertierifolia,100-199,500-599
Allophylus amazonicus,100-199,700-799
Allophylus coriaceus,2600-2699,2600-2699
Allophylus divaricatus,100-199,700-799
Allophylus dodsonii,100-199,200-299
Allophylus edulis,N/A,N/A
Allophylus excelsus,100-199,2700-2799
Allophylus floribundus,100-199,2000-2099
Allophylus glabratus,200-299,400-499
Allophylus incanus,200-299,2400-2499
