species,region,range
Alchornea glandulosa,c.0.-5,2500
Alchornea glandulosa,d.-5.-10,2200
Alchornea glandulosa,e.-10.-15,3000
Alchornea glandulosa,f.-15.-20,2200
Alchornea glandulosa,g.-20.-25,N/A
Alchornea grandiflora,a.10.5,1700
Alchornea grandiflora,b.5.0,1700
Alchornea grandiflora,c.0.-5,1200
Alchornea grandiflora,d.-5.-10,1800
Alchornea grandiflora,e.-10.-15,2200
Alchornea grandiflora,f.-15.-20,600
Alchornea grandiflora,g.-20.-25,N/A
Alchornea grandis,a.10.5,700
Alchornea grandis,b.5.0,1400
Alchornea grandis,c.0.-5,1300
Alchornea grandis,d.-5.-10,300
Alchornea grandis,e.-10.-15,900
Alchornea grandis,f.-15.-20,0
Alchornea grandis,g.-20.-25,N/A
Alchornea latifolia,a.10.5,2100
Alchornea latifolia,b.5.0,2300
Alchornea latifolia,c.0.-5,1900
Alchornea latifolia,d.-5.-10,800
Alchornea latifolia,e.-10.-15,1200
Alchornea latifolia,f.-15.-20,1700
Alchornea latifolia,g.-20.-25,N/A
Alchornea triplinervia,a.10.5,2100
Alchornea triplinervia,b.5.0,3800
Alchornea triplinervia,c.0.-5,2000
Alchornea triplinervia,d.-5.-10,1900
Alchornea triplinervia,e.-10.-15,2300
Alchornea triplinervia,f.-15.-20,2100
Alchornea triplinervia,g.-20.-25,N/A
Alchorneopsis floribunda,a.10.5,3700
Alchorneopsis floribunda,b.5.0,400
Alchorneopsis floribunda,c.0.-5,600
Alchorneopsis floribunda,d.-5.-10,500
Alchorneopsis floribunda,e.-10.-15,600
Alchorneopsis floribunda,f.-15.-20,N/A
Alchorneopsis floribunda,g.-20.-25,N/A
Allophylus edulis,a.10.5,0
Allophylus edulis,b.5.0,N/A
Allophylus edulis,c.0.-5,N/A
Allophylus edulis,d.-5.-10,0
Allophylus edulis,e.-10.-15,400
Allophylus edulis,f.-15.-20,1900
Allophylus edulis,g.-20.-25,1700
Allophylus excelsus,a.10.5,1700
Allophylus excelsus,b.5.0,2300
Allophylus excelsus,c.0.-5,1500
Allophylus excelsus,d.-5.-10,N/A
Allophylus excelsus,e.-10.-15,100
Allophylus excelsus,f.-15.-20,0
Allophylus excelsus,g.-20.-25,N/A
Allophylus floribundus,a.10.5,0
Allophylus floribundus,b.5.0,2100
Allophylus floribundus,c.0.-5,1900
Allophylus floribundus,d.-5.-10,2400
Allophylus floribundus,e.-10.-15,2000
Allophylus floribundus,f.-15.-20,1800
Allophylus floribundus,g.-20.-25,N/A
Allophylus psilospermus,a.10.5,900
Allophylus psilospermus,b.5.0,N/A
Allophylus psilospermus,c.0.-5,900
Allophylus psilospermus,d.-5.-10,N/A
Allophylus psilospermus,e.-10.-15,N/A
Allophylus psilospermus,f.-15.-20,500
Allophylus psilospermus,g.-20.-25,N/A
Allophylus punctatus,a.10.5,0
Allophylus punctatus,b.5.0,0
Allophylus punctatus,c.0.-5,1800
Allophylus punctatus,d.-5.-10,2100
Allophylus punctatus,e.-10.-15,1800
Allophylus punctatus,f.-15.-20,1900
Allophylus punctatus,g.-20.-25,N/A
Alnus acuminata,a.10.5,2000
Alnus acuminata,b.5.0,2800
Alnus acuminata,c.0.-5,2400
Alnus acuminata,d.-5.-10,3400
Alnus acuminata,e.-10.-15,2000
Alnus acuminata,f.-15.-20,3000
Alnus acuminata,g.-20.-25,1600
Ciliosemina pedunculata,a.10.5,1200
Ciliosemina pedunculata,b.5.0,1000
Ciliosemina pedunculata,c.0.-5,500
Ciliosemina pedunculata,d.-5.-10,1000
Ciliosemina pedunculata,e.-10.-15,N/A
Ciliosemina pedunculata,f.-15.-20,N/A
Ciliosemina pedunculata,g.-20.-25,N/A
Cinchona macrocalyx,a.10.5,0
Cinchona macrocalyx,b.5.0,N/A
Cinchona macrocalyx,c.0.-5,1100
Cinchona macrocalyx,d.-5.-10,600
Cinchona macrocalyx,e.-10.-15,900
Cinchona macrocalyx,f.-15.-20,0
Cinchona macrocalyx,g.-20.-25,N/A
Cinchona officinalis,a.10.5,1400
