species,region,range
Heliocarpus americanus,f.-15.-20,1900
Henriettea verrucosa,b.5.0,1100
Henriettea verrucosa,c.0.-5,800
Herrania balaensis,b.5.0,600
Herrania balaensis,c.0.-5,200
Hesperomeles ferruginea,a.10.5,2100
Hesperomeles ferruginea,b.5.0,1300
Hesperomeles ferruginea,c.0.-5,1900
Hesperomeles ferruginea,d.-5.-10,2500
Hesperomeles ferruginea,e.-10.-15,1700
Hesperomeles ferruginea,f.-15.-20,1900
Hesperomeles obtusifolia,a.10.5,1700
Hesperomeles obtusifolia,b.5.0,2000
Hesperomeles obtusifolia,c.0.-5,2300
Hesperomeles obtusifolia,d.-5.-10,1900
Hesperomeles obtusifolia,e.-10.-15,2100
Hesperomeles obtusifolia,f.-15.-20,1500
Hieronyma alchorneoides,a.10.5,1500
Hieronyma alchorneoides,b.5.0,1700
Hieronyma alchorneoides,c.0.-5,2000
Hieronyma alchorneoides,d.-5.-10,2100
Hieronyma alchorneoides,e.-10.-15,2400
Hieronyma alchorneoides,f.-15.-20,2000
Hieronyma duquei,a.10.5,800
Hieronyma duquei,b.5.0,2200
Hieronyma duquei,c.0.-5,1700
Hieronyma duquei,d.-5.-10,800
Hieronyma duquei,e.-10.-15,1300
Hieronyma duquei,f.-15.-20,300
Hieronyma fendleri,a.10.5,1900
Hieronyma fendleri,b.5.0,1500
Hieronyma fendleri,c.0.-5,1900
Hieronyma fendleri,d.-5.-10,500
Hieronyma fendleri,e.-10.-15,2200
Hieronyma fendleri,f.-15.-20,1800
Hieronyma macrocarpa,a.10.5,400
Hieronyma macrocarpa,b.5.0,2200
Hieronyma macrocarpa,c.0.-5,1800
Hieronyma macrocarpa,e.-10.-15,2000
Hieronyma oblonga,a.10.5,2100
Hieronyma oblonga,b.5.0,1900
Hieronyma oblonga,c.0.-5,2100
Hieronyma oblonga,d.-5.-10,2000
Hieronyma oblonga,e.-10.-15,2800
Hieronyma oblonga,f.-15.-20,2100
Hieronyma scabrida,a.10.5,1000
Hieronyma scabrida,b.5.0,1000
Hieronyma scabrida,c.0.-5,1300
Hieronyma scabrida,e.-10.-15,500
Hillia parasitica,a.10.5,1100
Hillia parasitica,b.5.0,1600
Hillia parasitica,c.0.-5,1600
Hillia parasitica,d.-5.-10,500
Hillia parasitica,e.-10.-15,2000
Hillia parasitica,f.-15.-20,2400
Himatanthus articulatus,a.10.5,1100
Himatanthus articulatus,b.5.0,700
Himatanthus articulatus,c.0.-5,1200
Himatanthus articulatus,d.-5.-10,500
Himatanthus articulatus,e.-10.-15,800
Himatanthus articulatus,f.-15.-20,600
Hippotis albiflora,a.10.5,1600
Hippotis albiflora,b.5.0,800
Hippotis albiflora,c.0.-5,200
Hippotis brevipes,a.10.5,1300
Hippotis brevipes,c.0.-5,2100
Hippotis brevipes,d.-5.-10,1500
Hirtella bicornis,a.10.5,400
Hirtella bicornis,b.5.0,700
Hirtella bicornis,c.0.-5,600
Hirtella bicornis,d.-5.-10,300
Hirtella bicornis,e.-10.-15,900
Hirtella mutisii,a.10.5,900
Hirtella mutisii,b.5.0,400
Hirtella mutisii,c.0.-5,600
Hirtella pilosissima,c.0.-5,200
Hirtella pilosissima,d.-5.-10,100
Hirtella pilosissima,e.-10.-15,900
Hirtella pilosissima,f.-15.-20,300
Hirtella racemosa,a.10.5,700
Hirtella racemosa,b.5.0,700
Hirtella racemosa,c.0.-5,1300
Hirtella racemosa,d.-5.-10,400
Hirtella racemosa,e.-10.-15,800
Hirtella racemosa,f.-15.-20,1300
Hirtella triandra,a.10.5,1300
Hirtella triandra,b.5.0,100
Hirtella triandra,c.0.-5,1100
Hirtella triandra,d.-5.-10,400
Hirtella triandra,e.-10.-15,1600
Hirtella triandra,f.-15.-20,2500
Hoffmannia longipetiolata,a.10.5,1900
Hoffmannia longipetiolata,b.5.0,1600
Hoffmannia longipetiolata,c.0.-5,1500
Hura crepitans,a.10.5,1400
Hura crepitans,c.0.-5,400
Hura crepitans,d.-5.-10,1800
Hura crepitans,e.-10.-15,1000
Hura crepitans,f.-15.-20,500
Hymenaea courbaril,a.10.5,1400
Hymenaea courbaril,b.5.0,1700
Hymenaea courbaril,c.0.-5,600
Hymenaea courbaril,e.-10.-15,1100
Hymenaea courbaril,f.-15.-20,700
Hymenaea oblongifolia,a.10.5,300
Hymenaea oblongifolia,b.5.0,600
Hymenaea oblongifolia,c.0.-5,400
Hymenaea oblongifolia,d.-5.-10,700
Hymenaea oblongifolia,e.-10.-15,500
Hymenopus heteromorphus,a.10.5,1000
Hymenopus heteromorphus,b.5.0,900
Hymenopus heteromorphus,c.0.-5,1400
Hymenopus heteromorphus,e.-10.-15,1300
Hyospathe elegans,a.10.5,1500
Hyospathe elegans,b.5.0,1500
Hyospathe elegans,c.0.-5,2100
Hyospathe elegans,d.-5.-10,1600
Hyospathe elegans,e.-10.-15,1900
Hyospathe elegans,f.-15.-20,400
Hyptidendron arboreum,a.10.5,1400
Hyptidendron arboreum,c.0.-5,300
Hyptidendron arboreum,e.-10.-15,1600
Hyptidendron arboreum,f.-15.-20,300
Ilex guayusa,a.10.5,400
Ilex guayusa,b.5.0,500
Ilex guayusa,c.0.-5,2500
Ilex guayusa,d.-5.-10,100
Ilex guayusa,e.-10.-15,1400
Ilex laurina,a.10.5,2000
Ilex laurina,b.5.0,700
Ilex laurina,c.0.-5,900
Ilex laurina,d.-5.-10,2000
Ilex laurina,e.-10.-15,1300
Ilex myricoides,a.10.5,1300
Ilex myricoides,b.5.0,400
Ilex myricoides,c.0.-5,1200
Ilex myricoides,e.-10.-15,700
Ilex myricoides,f.-15.-20,100
Ilex nervosa,a.10.5,1900
Ilex nervosa,b.5.0,1100
Ilex nervosa,c.0.-5,1300
Ilex nervosa,d.-5.-10,1600
Ilex nervosa,e.-10.-15,1700
Ilex nervosa,f.-15.-20,700
Inga acreana,a.10.5,1100
Inga acreana,b.5.0,1200
Inga acreana,c.0.-5,2000
Inga acreana,d.-5.-10,1600
Inga acreana,e.-10.-15,2200
Inga acreana,f.-15.-20,1000
Inga acrocephala,a.10.5,1300
Inga acrocephala,b.5.0,1400
Inga acrocephala,c.0.-5,1100
Inga acrocephala,d.-5.-10,1500
Inga acrocephala,e.-10.-15,2000
Inga acuminata,a.10.5,600
Inga acuminata,b.5.0,1100
Inga acuminata,c.0.-5,200
Inga alba,a.10.5,1000
Inga alba,b.5.0,800
Inga alba,c.0.-5,1500
Inga alba,d.-5.-10,700
Inga alba,e.-10.-15,1400
Inga alba,f.-15.-20,800
Inga capitata,a.10.5,400
Inga capitata,b.5.0,1000
Inga capitata,c.0.-5,1400
Inga capitata,d.-5.-10,1900
Inga capitata,e.-10.-15,2600
Inga capitata,f.-15.-20,1000
Inga chartacea,b.5.0,1100
Inga chartacea,c.0.-5,1400
Inga chartacea,d.-5.-10,300
Inga chartacea,e.-10.-15,1200
Inga chartacea,f.-15.-20,200
Inga cinnamomea,a.10.5,700
Inga cinnamomea,b.5.0,1400
Inga cinnamomea,c.0.-5,900
Inga cinnamomea,e.-10.-15,600
Inga cocleensis,a.10.5,1500
Inga cocleensis,b.5.0,700
Inga coruscans,a.10.5,1100
Inga coruscans,b.5.0,2300
Inga coruscans,c.0.-5,1800
Inga coruscans,d.-5.-10,100
Inga coruscans,e.-10.-15,1100
Inga coruscans,f.-15.-20,100
Inga densiflora,a.10.5,1900
Inga densiflora,b.5.0,2900
Inga densiflora,c.0.-5,1700
Inga densiflora,d.-5.-10,1400
Inga densiflora,f.-15.-20,200
Inga edulis,a.10.5,1900
Inga edulis,b.5.0,2200
Inga edulis,c.0.-5,1500
Inga edulis,d.-5.-10,1500
Inga edulis,e.-10.-15,1700
Inga edulis,f.-15.-20,1000
Inga heterophylla,a.10.5,1400
Inga heterophylla,b.5.0,200
Inga heterophylla,c.0.-5,700
Inga heterophylla,d.-5.-10,1200
Inga heterophylla,e.-10.-15,1800
Inga heterophylla,f.-15.-20,1300
Inga lallensis,a.10.5,400
Inga lallensis,c.0.-5,2200
Inga laurina,a.10.5,800
Inga laurina,b.5.0,500
Inga laurina,c.0.-5,2000
Inga laurina,e.-10.-15,1400
Inga laurina,f.-15.-20,1100
Inga lopadadenia,a.10.5,500
Inga lopadadenia,d.-5.-10,900
Inga lopadadenia,e.-10.-15,200
Inga macrophylla,a.10.5,900
Inga macrophylla,b.5.0,200
Inga macrophylla,c.0.-5,900
Inga macrophylla,d.-5.-10,300
Inga macrophylla,e.-10.-15,1800
Inga macrophylla,f.-15.-20,1100
Inga marginata,a.10.5,1900
Inga marginata,b.5.0,1700
Inga marginata,c.0.-5,2300
Inga marginata,d.-5.-10,2200
Inga marginata,e.-10.-15,2500
Inga marginata,f.-15.-20,1900
Inga multijuga,a.10.5,800
Inga multijuga,b.5.0,1700
Inga multijuga,c.0.-5,1800
Inga multinervis,c.0.-5,1200
Inga multinervis,e.-10.-15,1200
Inga nobilis,a.10.5,2400
Inga nobilis,b.5.0,1400
Inga nobilis,c.0.-5,2000
Inga nobilis,d.-5.-10,2000
Inga nobilis,e.-10.-15,2100
Inga nobilis,f.-15.-20,2200
Inga oerstediana,a.10.5,2000
Inga oerstediana,b.5.0,1700
Inga oerstediana,c.0.-5,1700
Inga oerstediana,d.-5.-10,1600
Inga oerstediana,e.-10.-15,1900
Inga oerstediana,f.-15.-20,1400
Inga pezizifera,a.10.5,1700
Inga pezizifera,b.5.0,1100
Inga pezizifera,e.-10.-15,1400
Inga punctata,a.10.5,2000
Inga punctata,b.5.0,1700
Inga punctata,c.0.-5,1800
Inga punctata,d.-5.-10,1900
Inga punctata,e.-10.-15,2300
Inga punctata,f.-15.-20,1300
Inga ruiziana,a.10.5,1000
Inga ruiziana,b.5.0,1300
Inga ruiziana,c.0.-5,2000
Inga ruiziana,d.-5.-10,2000
Inga ruiziana,e.-10.-15,1600
Inga ruiziana,f.-15.-20,1100
Inga sapindoides,a.10.5,1400
Inga sapindoides,b.5.0,1700
Inga sapindoides,c.0.-5,1500
Inga sapindoides,d.-5.-10,600
Inga sapindoides,e.-10.-15,1900
Inga sapindoides,f.-15.-20,1000
Inga sertulifera,a.10.5,1200
Inga sertulifera,b.5.0,1200
Inga sertulifera,c.0.-5,1300
Inga sertulifera,e.-10.-15,1000
Inga spectabilis,a.10.5,1600
Inga spectabilis,b.5.0,1200
Inga spectabilis,c.0.-5,2000
Inga spectabilis,e.-10.-15,1800
Inga stenoptera,b.5.0,1300
Inga stenoptera,c.0.-5,1200
Inga stenoptera,d.-5.-10,2700
Inga stenoptera,e.-10.-15,1100
Inga striata,b.5.0,500
Inga striata,c.0.-5,1600
Inga striata,d.-5.-10,1700
Inga striata,e.-10.-15,2100
Inga striata,f.-15.-20,2300
Inga thibaudiana,a.10.5,1300
Inga thibaudiana,b.5.0,1000
Inga thibaudiana,c.0.-5,800
Inga thibaudiana,d.-5.-10,1000
Inga thibaudiana,e.-10.-15,1800
Inga thibaudiana,f.-15.-20,1100
Inga umbellifera,a.10.5,1200
Inga umbellifera,b.5.0,1200
Inga umbellifera,c.0.-5,900
Inga umbellifera,d.-5.-10,400
Inga umbellifera,e.-10.-15,1600
Inga umbellifera,f.-15.-20,1500
Inga velutina,a.10.5,1000
Inga velutina,c.0.-5,1800
Inga velutina,e.-10.-15,1500
Inga venusta,a.10.5,1300
Inga venusta,c.0.-5,400
Inga venusta,e.-10.-15,300
Inga vera,a.10.5,1600
Inga vera,b.5.0,1800
Inga vera,c.0.-5,200
Inga vera,e.-10.-15,1800
Inga villosissima,a.10.5,800
Inga villosissima,b.5.0,700
Inga villosissima,c.0.-5,1500
Iriartea deltoidea,a.10.5,1200
Iriartea deltoidea,b.5.0,1000
Iriartea deltoidea,c.0.-5,1800
Iriartea deltoidea,d.-5.-10,1200
Iriartea deltoidea,e.-10.-15,1300
Iriartea deltoidea,f.-15.-20,900
Iryanthera hostmannii,a.10.5,600
Iryanthera hostmannii,b.5.0,300
Iryanthera hostmannii,c.0.-5,200
Iryanthera paraensis,a.10.5,100
Iryanthera paraensis,b.5.0,100
Iryanthera paraensis,c.0.-5,300
Iryanthera paraensis,d.-5.-10,1000
Iryanthera paraensis,e.-10.-15,1600
Iryanthera ulei,a.10.5,1100
Iryanthera ulei,b.5.0,200
Iryanthera ulei,c.0.-5,600
Iryanthera ulei,d.-5.-10,200
Iryanthera ulei,e.-10.-15,1200
Isertia laevis,a.10.5,1700
Isertia laevis,b.5.0,1200
Isertia laevis,c.0.-5,2000
Isertia laevis,d.-5.-10,1400
Isertia laevis,e.-10.-15,1800
Isertia laevis,f.-15.-20,900
Jacaranda copaia,a.10.5,1300
Jacaranda copaia,b.5.0,1100
Jacaranda copaia,c.0.-5,1100
Jacaranda copaia,d.-5.-10,2300
Jacaranda copaia,e.-10.-15,1100
Jacaranda copaia,f.-15.-20,500
Jacaranda glabra,b.5.0,500
Jacaranda glabra,c.0.-5,700
Jacaranda glabra,d.-5.-10,800
Jacaranda glabra,e.-10.-15,2400
Jacaranda glabra,f.-15.-20,1400
Jacaranda hesperia,a.10.5,1100
Jacaranda hesperia,b.5.0,500
Jacaranda mimosifolia,a.10.5,100
Jacaranda mimosifolia,c.0.-5,1400
Jacaranda mimosifolia,e.-10.-15,1200
Jacaranda mimosifolia,f.-15.-20,1800
Jacaranda obtusifolia,a.10.5,500
Jacaranda obtusifolia,b.5.0,600
Jacaranda obtusifolia,e.-10.-15,100
Jacaratia chocoensis,e.-10.-15,600
Jacaratia digitata,b.5.0,1200
Jacaratia digitata,c.0.-5,1500
Jacaratia digitata,d.-5.-10,700
Jacaratia digitata,e.-10.-15,1200
Jacaratia digitata,f.-15.-20,2100
Joosia umbellifera,a.10.5,900
Joosia umbellifera,b.5.0,1800
Joosia umbellifera,c.0.-5,1000
Joosia umbellifera,d.-5.-10,100
Juglans neotropica,a.10.5,2500
Juglans neotropica,b.5.0,2100
Juglans neotropica,c.0.-5,1800
Juglans neotropica,d.-5.-10,1100
Juglans neotropica,e.-10.-15,2300
Juglans neotropica,f.-15.-20,700
Lacistema aggregatum,a.10.5,1400
Lacistema aggregatum,b.5.0,1800
Lacistema aggregatum,c.0.-5,1200
Lacistema aggregatum,d.-5.-10,1300
Lacistema aggregatum,e.-10.-15,1700
Lacistema aggregatum,f.-15.-20,1600
Lacistema nena,b.5.0,500
Lacistema nena,c.0.-5,900
Lacistema nena,d.-5.-10,600
Lacistema nena,e.-10.-15,800
Lacistema nena,f.-15.-20,800
Lacmellea edulis,a.10.5,1300
Lacmellea edulis,b.5.0,1200
Lacmellea edulis,c.0.-5,1600
Lacmellea edulis,e.-10.-15,600
Lacunaria crenata,a.10.5,200
Ladenbergia macrocarpa,a.10.5,2400
Ladenbergia macrocarpa,b.5.0,1800
Ladenbergia macrocarpa,c.0.-5,1200
Ladenbergia macrocarpa,d.-5.-10,400
Ladenbergia macrocarpa,e.-10.-15,900
Ladenbergia muzonensis,a.10.5,1500
Ladenbergia muzonensis,b.5.0,1500
Ladenbergia muzonensis,c.0.-5,900
Ladenbergia muzonensis,d.-5.-10,1000
Ladenbergia oblongifolia,a.10.5,2100
Ladenbergia oblongifolia,b.5.0,2300
Ladenbergia oblongifolia,c.0.-5,2100
Ladenbergia oblongifolia,d.-5.-10,1900
Ladenbergia oblongifolia,e.-10.-15,1600
Ladenbergia oblongifolia,f.-15.-20,2000
Lafoensia acuminata,a.10.5,900
Lafoensia acuminata,b.5.0,100
Lafoensia acuminata,c.0.-5,1200
Lafoensia acuminata,d.-5.-10,2000
Lafoensia acuminata,e.-10.-15,1000
Leonia glycycarpa,a.10.5,300
Leonia glycycarpa,b.5.0,800
Leonia glycycarpa,c.0.-5,1200
Leonia glycycarpa,d.-5.-10,1500
Leonia glycycarpa,e.-10.-15,1400
Leonia glycycarpa,f.-15.-20,700
Leucaena trichodes,c.0.-5,1300
Leucaena trichodes,d.-5.-10,1500
Leucaena trichodes,e.-10.-15,1700
Licania hypoleuca,a.10.5,700
Licania hypoleuca,b.5.0,200
Licania hypoleuca,c.0.-5,700
Licania hypoleuca,d.-5.-10,200
Licania hypoleuca,e.-10.-15,900
Licania micrantha,a.10.5,800
Licania micrantha,b.5.0,600
Licania micrantha,c.0.-5,100
Licania micrantha,d.-5.-10,900
Licania micrantha,e.-10.-15,600
Licania micrantha,f.-15.-20,300
Licaria applanata,b.5.0,1100
Licaria applanata,c.0.-5,1900
Licaria canella,b.5.0,500
Licaria canella,c.0.-5,2000
Licaria canella,d.-5.-10,2000
Licaria canella,e.-10.-15,1300
Licaria cannella,b.5.0,500
Licaria cannella,c.0.-5,2000
Licaria cannella,d.-5.-10,2000
Licaria cannella,e.-10.-15,1300
Licaria triandra,a.10.5,700
Licaria triandra,c.0.-5,1500
Licaria triandra,d.-5.-10,900
Licaria triandra,e.-10.-15,1100
Licaria triandra,f.-15.-20,700
Lindackeria paludosa,a.10.5,300
Lindackeria paludosa,b.5.0,800
Lindackeria paludosa,c.0.-5,600
Lindackeria paludosa,d.-5.-10,400
Lindackeria paludosa,e.-10.-15,500
Lippia americana,a.10.5,500
Lonchocarpus sericeus,b.5.0,400
Lozanella enantiophylla,a.10.5,1300
Lozanella enantiophylla,b.5.0,1100
Lozanella enantiophylla,c.0.-5,2000
Lozanella enantiophylla,d.-5.-10,1200
Lozanella enantiophylla,e.-10.-15,1400
Lozanella enantiophylla,f.-15.-20,800
Lozania mutisiana,a.10.5,1600
Lozania mutisiana,b.5.0,2000
Lozania mutisiana,c.0.-5,1400
Lozania mutisiana,d.-5.-10,1200
Lozania mutisiana,e.-10.-15,500
Luehea seemannii,a.10.5,1200
Luehea seemannii,b.5.0,1000
Lunania parviflora,a.10.5,1000
Lunania parviflora,c.0.-5,900
Lunania parviflora,d.-5.-10,2300
Lunania parviflora,e.-10.-15,800
Lunania parviflora,f.-15.-20,1700
Lycianthes inaequilatera,a.10.5,1300
Lycianthes inaequilatera,b.5.0,1300
Lycianthes inaequilatera,c.0.-5,1600
Lycianthes inaequilatera,d.-5.-10,1300
Lycianthes inaequilatera,e.-10.-15,2000
Lycianthes inaequilatera,f.-15.-20,1500
Lycianthes pauciflora,a.10.5,1600
Lycianthes pauciflora,b.5.0,1500
Lycianthes pauciflora,c.0.-5,2000
Lycianthes pauciflora,d.-5.-10,2200
Lycianthes pauciflora,e.-10.-15,2200
Lycianthes pauciflora,f.-15.-20,1700
Mabea occidentalis,a.10.5,1400
Mabea occidentalis,b.5.0,1500
Mabea occidentalis,c.0.-5,400
Machaerium floribundum,a.10.5,900
Machaerium floribundum,b.5.0,400
Machaerium floribundum,c.0.-5,200
Machaerium floribundum,d.-5.-10,200
Machaerium floribundum,e.-10.-15,1400
Machaerium hirtum,a.10.5,200
Machaerium hirtum,e.-10.-15,1600
Machaerium hirtum,f.-15.-20,1800
Macleania rupestris,a.10.5,2400
Macleania rupestris,b.5.0,1700
Macleania rupestris,c.0.-5,1900
Macleania rupestris,d.-5.-10,1100
Macleania rupestris,e.-10.-15,1700
Maclura tinctoria,a.10.5,1300
Maclura tinctoria,b.5.0,1200
Maclura tinctoria,c.0.-5,1300
Maclura tinctoria,d.-5.-10,1500
Maclura tinctoria,e.-10.-15,3600
Maclura tinctoria,f.-15.-20,1300
Macrocnemum roseum,a.10.5,1800
Macrocnemum roseum,b.5.0,300
Macrocnemum roseum,c.0.-5,1500
Macrocnemum roseum,d.-5.-10,2400
Macrocnemum roseum,e.-10.-15,1700
Macrocnemum roseum,f.-15.-20,1100
Macrolobium colombianum,a.10.5,500
Macrolobium colombianum,b.5.0,1600
Macrolobium colombianum,c.0.-5,700
Macrolobium gracile,a.10.5,100
Macrolobium gracile,b.5.0,600
Macrolobium gracile,c.0.-5,1500
Macrolobium gracile,d.-5.-10,500
Macrolobium gracile,e.-10.-15,700
Malpighia glabra,a.10.5,1300
Malpighia glabra,b.5.0,900
Malpighia glabra,d.-5.-10,200
Manilkara bidentata,b.5.0,100
Manilkara bidentata,c.0.-5,700
Manilkara bidentata,d.-5.-10,1800
Manilkara bidentata,e.-10.-15,100
Maprounea guianensis,a.10.5,1100
Maprounea guianensis,b.5.0,700
Maprounea guianensis,d.-5.-10,700
Maprounea guianensis,e.-10.-15,1200
Maprounea guianensis,f.-15.-20,1000
Maquira guianensis,a.10.5,900
Maquira guianensis,b.5.0,300
Maquira guianensis,c.0.-5,900
Maquira guianensis,e.-10.-15,800
Marcgraviastrum macrocarpum,a.10.5,800
Marcgraviastrum macrocarpum,b.5.0,200
Marcgraviastrum macrocarpum,e.-10.-15,1500
Margaritaria nobilis,a.10.5,1300
Margaritaria nobilis,b.5.0,700
Margaritaria nobilis,c.0.-5,2000
Margaritaria nobilis,d.-5.-10,1000
Margaritaria nobilis,e.-10.-15,1400
Margaritaria nobilis,f.-15.-20,1300
Marila laxiflora,a.10.5,400
Marila laxiflora,b.5.0,1200
Marila laxiflora,d.-5.-10,2300
Marila laxiflora,e.-10.-15,1100
Marila laxiflora,f.-15.-20,1000
Marila podantha,a.10.5,1000
Marila podantha,b.5.0,600
Marila podantha,c.0.-5,200
Matayba arborescens,a.10.5,900
Matayba arborescens,b.5.0,700
Matayba arborescens,c.0.-5,400
Matayba arborescens,d.-5.-10,200
Matayba arborescens,e.-10.-15,1000
Matayba arborescens,f.-15.-20,300
Matayba elegans,a.10.5,2300
Matayba guianensis,a.10.5,1100
Matayba guianensis,b.5.0,700
Matayba guianensis,e.-10.-15,1600
Matayba guianensis,f.-15.-20,900
Matayba peruviana,b.5.0,800
Matayba peruviana,d.-5.-10,1700
Matayba peruviana,e.-10.-15,1000
Matayba purgans,a.10.5,500
Matayba purgans,b.5.0,500
Matayba purgans,d.-5.-10,200
Matayba purgans,e.-10.-15,300
Matayba scrobiculata,b.5.0,200
Matayba scrobiculata,e.-10.-15,300
Matisia castano,b.5.0,600
Matisia castano,c.0.-5,400
Matisia cornu-copiae,b.5.0,700
Matisia floccosa,a.10.5,400
Matisia floccosa,b.5.0,900
Matisia idroboi,b.5.0,1200
Matisia idroboi,c.0.-5,1300
Mauria ferruginea,a.10.5,1000
Mauria ferruginea,d.-5.-10,1600
Mauria ferruginea,e.-10.-15,2500
Mauria heterophylla,a.10.5,1500
Mauria heterophylla,b.5.0,2200
Mauria heterophylla,c.0.-5,2300
Mauria heterophylla,d.-5.-10,3000
Mauria heterophylla,e.-10.-15,2500
Mauria heterophylla,f.-15.-20,1500
Mayna grandifolia,a.10.5,400
Mayna grandifolia,d.-5.-10,1400
Mayna odorata,a.10.5,1300
Mayna odorata,b.5.0,900
Mayna odorata,c.0.-5,1100
Mayna odorata,d.-5.-10,1700
Mayna odorata,e.-10.-15,1400
Mayna odorata,f.-15.-20,900
Maytenus verticillata,a.10.5,600
Maytenus verticillata,b.5.0,1000
Maytenus verticillata,c.0.-5,1400
Maytenus verticillata,d.-5.-10,1200
Maytenus verticillata,e.-10.-15,2300
Maytenus verticillata,f.-15.-20,1600
Melicoccus oliviformis,a.10.5,300
Meliosma frondosa,a.10.5,1100
Meliosma frondosa,b.5.0,1600
Meliosma frondosa,c.0.-5,2500
Meliosma frondosa,d.-5.-10,2000
Meliosma frondosa,e.-10.-15,2700
Meliosma frondosa,f.-15.-20,800
Meliosma glossophylla,d.-5.-10,1100
Meliosma glossophylla,e.-10.-15,1700
Meliosma occidentalis,a.10.5,600
Meliosma occidentalis,b.5.0,1500
Annona edulis,a.10.5,900
Annona edulis,b.5.0,800
Annona edulis,c.0.-5,1500
Annona jahnii,a.10.5,500
Annona montana,a.10.5,800
Annona montana,c.0.-5,900
Annona montana,d.-5.-10,200
Annona montana,e.-10.-15,800
Annona montana,f.-15.-20,300
Annona mucosa,a.10.5,1400
Annona mucosa,b.5.0,1200
Annona mucosa,c.0.-5,1800
Annona mucosa,d.-5.-10,1300
Annona mucosa,e.-10.-15,2500
Annona mucosa,f.-15.-20,1700
Annona muricata,a.10.5,3400
Annona muricata,b.5.0,1300
Annona muricata,c.0.-5,1200
Annona muricata,d.-5.-10,1000
Annona muricata,e.-10.-15,1100
Annona muricata,f.-15.-20,2000
Annona papilionella,a.10.5,1300
Annona papilionella,b.5.0,1600
Annona papilionella,c.0.-5,1600
Annona papilionella,d.-5.-10,700
Annona papilionella,e.-10.-15,1100
Annona papilionella,f.-15.-20,1300
Annona quinduensis,a.10.5,1900
Annona quinduensis,b.5.0,1700
Annona quinduensis,c.0.-5,500
Annona rensoniana,a.10.5,1600
Annona rensoniana,b.5.0,500
Aparisthmium cordatum,a.10.5,1000
Aparisthmium cordatum,b.5.0,1400
Aparisthmium cordatum,c.0.-5,2000
Aparisthmium cordatum,d.-5.-10,1000
Aparisthmium cordatum,e.-10.-15,1600
Aparisthmium cordatum,f.-15.-20,1200
Apeiba glabra,a.10.5,1000
Apeiba glabra,b.5.0,900
Apeiba glabra,c.0.-5,1100
Apeiba glabra,d.-5.-10,200
Apeiba glabra,e.-10.-15,800
Apeiba membranacea,a.10.5,900
Apeiba membranacea,b.5.0,800
Apeiba membranacea,c.0.-5,1100
Apeiba membranacea,d.-5.-10,600
Apeiba membranacea,e.-10.-15,900
Apeiba membranacea,f.-15.-20,500
Apeiba tibourbou,a.10.5,600
Apeiba tibourbou,b.5.0,200
Apeiba tibourbou,c.0.-5,500
Apeiba tibourbou,d.-5.-10,200
Apeiba tibourbou,e.-10.-15,800
Apeiba tibourbou,f.-15.-20,600
Aphelandra glabrata,a.10.5,1200
Aphelandra glabrata,b.5.0,800
Aphelandra glabrata,d.-5.-10,300
Aphelandra glabrata,e.-10.-15,600
Aphelandra glabrata,f.-15.-20,600
Aphelandra pulcherrima,a.10.5,1200
Aphelandra pulcherrima,b.5.0,800
Aptandra tubicina,a.10.5,700
Aptandra tubicina,c.0.-5,100
Aptandra tubicina,d.-5.-10,100
Ardisia foetida,a.10.5,2900
Ardisia foetida,b.5.0,2400
Ardisia guianensis,a.10.5,2300
Ardisia guianensis,b.5.0,1900
Ardisia guianensis,c.0.-5,1100
Ardisia guianensis,d.-5.-10,900
Ardisia guianensis,e.-10.-15,800
Ardisia guianensis,f.-15.-20,500
Aspidosperma cuspa,a.10.5,600
Aspidosperma cuspa,b.5.0,600
Aspidosperma desmanthum,a.10.5,1200
Aspidosperma desmanthum,b.5.0,1200
Aspidosperma desmanthum,c.0.-5,1500
Aspidosperma desmanthum,d.-5.-10,300
Aspidosperma desmanthum,e.-10.-15,600
Aspidosperma excelsum,a.10.5,200
Aspidosperma excelsum,b.5.0,700
Aspidosperma excelsum,c.0.-5,400
Aspidosperma excelsum,d.-5.-10,700
Aspidosperma excelsum,e.-10.-15,1000
Aspidosperma excelsum,f.-15.-20,500
Aspidosperma megalocarpon,a.10.5,800
Aspidosperma megalocarpon,b.5.0,1100
Aspidosperma parvifolium,a.10.5,900
Aspidosperma parvifolium,d.-5.-10,1100
Aspidosperma parvifolium,e.-10.-15,1000
Aspidosperma polyneuron,a.10.5,100
Aspidosperma polyneuron,d.-5.-10,2200
Aspidosperma spruceanum,a.10.5,1200
Aspidosperma spruceanum,b.5.0,1400
Aspidosperma spruceanum,c.0.-5,300
Aspidosperma spruceanum,d.-5.-10,400
Aspidosperma spruceanum,e.-10.-15,700
Aspidosperma spruceanum,f.-15.-20,700
Astronium graveolens,a.10.5,1200
Astronium graveolens,b.5.0,500
Astronium graveolens,c.0.-5,400
Astronium graveolens,d.-5.-10,900
Astronium graveolens,e.-10.-15,1100
Astronium graveolens,f.-15.-20,700
Astronium lecointei,a.10.5,500
Astronium lecointei,e.-10.-15,1100
Meliosma schlimii,e.-10.-15,1300
Meliosma vasquezii,c.0.-5,500
Meliosma vasquezii,e.-10.-15,1100
Meliosma vasquezii,f.-15.-20,1700
Meriania tomentosa,a.10.5,100
Meriania tomentosa,b.5.0,1700
Meriania tomentosa,c.0.-5,1500
