species,region,range
Cissus trianae,e.-10.-15,1500
Cissus trianae,f.-15.-20,1000
Citronella incarum,a.10.5,1000
Citronella incarum,b.5.0,2300
Citronella incarum,c.0.-5,2500
Citronella incarum,d.-5.-10,2700
Citronella incarum,e.-10.-15,2900
Citronella incarum,f.-15.-20,400
Citrus X aurantium,a.10.5,600
Citrus X aurantium,b.5.0,1500
Citrus X aurantium,c.0.-5,2000
Citrus X aurantium,d.-5.-10,1100
Citrus X aurantium,e.-10.-15,100
Citrus limon,a.10.5,1200
Citrus limon,b.5.0,1500
Citrus limon,d.-5.-10,1100
Clarisia biflora,a.10.5,1000
Clarisia biflora,b.5.0,1700
Clarisia biflora,c.0.-5,1600
Clarisia biflora,d.-5.-10,2000
Clarisia biflora,e.-10.-15,2800
Clarisia biflora,f.-15.-20,1300
Clarisia racemosa,a.10.5,900
Clarisia racemosa,b.5.0,1100
Clarisia racemosa,c.0.-5,1200
Clarisia racemosa,d.-5.-10,800
Clarisia racemosa,e.-10.-15,1200
Clarisia racemosa,f.-15.-20,1100
Clethra fagifolia,a.10.5,2700
Clethra fagifolia,b.5.0,2500
Clethra fagifolia,c.0.-5,1400
Clethra fimbriata,a.10.5,1800
Clethra fimbriata,b.5.0,1100
Clethra fimbriata,c.0.-5,2500
Clethra fimbriata,d.-5.-10,1300
Clethra fimbriata,f.-15.-20,600
Clethra ovalifolia,a.10.5,400
Clethra ovalifolia,b.5.0,900
Clethra ovalifolia,c.0.-5,1800
Clethra ovalifolia,d.-5.-10,1300
Clethra revoluta,a.10.5,2900
Clethra revoluta,b.5.0,1200
Clethra revoluta,c.0.-5,1600
Clethra revoluta,d.-5.-10,1500
Clethra revoluta,e.-10.-15,2500
Clethra revoluta,f.-15.-20,1200
Clitoria arborea,c.0.-5,800
Clitoria arborea,d.-5.-10,2000
Clitoria arborea,e.-10.-15,600
Clitoria arborea,f.-15.-20,100
Clusia alata,a.10.5,3000
Clusia alata,b.5.0,1700
Clusia alata,c.0.-5,1600
Clusia alata,d.-5.-10,200
Clusia alata,e.-10.-15,900
Clusia crenata,a.10.5,1000
Clusia crenata,b.5.0,700
Clusia crenata,c.0.-5,600
Clusia cuneifolia,a.10.5,1900
Clusia cuneifolia,c.0.-5,1300
Clusia decussata,a.10.5,2200
Clusia decussata,b.5.0,1700
Clusia decussata,c.0.-5,900
Clusia dixonii,a.10.5,900
Clusia dixonii,b.5.0,1400
Clusia dixonii,c.0.-5,900
Clusia ducu,a.10.5,600
Clusia ducu,b.5.0,1900
Clusia ducu,c.0.-5,1300
Clusia ducu,d.-5.-10,700
Clusia ducu,e.-10.-15,800
Clusia ducu,f.-15.-20,1000
Clusia ducuoides,a.10.5,1500
Clusia ducuoides,b.5.0,2000
Clusia ducuoides,c.0.-5,2300
Clusia ducuoides,d.-5.-10,1300
Clusia ducuoides,e.-10.-15,1000
Clusia elliptica,a.10.5,2300
Clusia elliptica,b.5.0,400
Clusia elliptica,c.0.-5,1300
Clusia elliptica,d.-5.-10,1500
Clusia elliptica,e.-10.-15,1500
Clusia elliptica,f.-15.-20,1300
Clusia flavida,a.10.5,1900
Clusia flavida,b.5.0,700
Clusia flavida,c.0.-5,2000
Clusia flavida,d.-5.-10,1500
Clusia flavida,e.-10.-15,1200
Clusia flavida,f.-15.-20,300
Clusia hammeliana,a.10.5,1200
Clusia hammeliana,b.5.0,1300
Clusia hammeliana,c.0.-5,1200
Clusia hammeliana,d.-5.-10,500
Clusia hammeliana,e.-10.-15,1400
Clusia hammeliana,f.-15.-20,400
Clusia haughtii,a.10.5,1200
Clusia haughtii,b.5.0,1500
Clusia haughtii,c.0.-5,600
Clusia haughtii,d.-5.-10,300
Clusia haughtii,e.-10.-15,600
Clusia haughtii,f.-15.-20,1100
Clusia hydrogera,a.10.5,800
Clusia hydrogera,b.5.0,800
Clusia hydrogera,c.0.-5,1200
Clusia lineata,a.10.5,2100
Clusia lineata,b.5.0,2100
Clusia lineata,c.0.-5,1900
Clusia lineata,d.-5.-10,700
Clusia minor,a.10.5,1900
Clusia minor,b.5.0,1900
Clusia minor,c.0.-5,1300
Clusia minor,d.-5.-10,2000
Clusia minor,e.-10.-15,900
Clusia mocoensis,a.10.5,1700
Clusia mocoensis,b.5.0,1800
Clusia mocoensis,c.0.-5,1200
Clusia multiflora,a.10.5,2400
Clusia multiflora,b.5.0,2800
Clusia multiflora,c.0.-5,2400
Clusia multiflora,d.-5.-10,800
Clusia multiflora,e.-10.-15,2600
Clusia multiflora,f.-15.-20,1600
Clusia octandra,a.10.5,400
Clusia octandra,b.5.0,1300
Clusia octandra,c.0.-5,1500
Clusia octandra,d.-5.-10,700
Clusia palmicida,a.10.5,1300
Clusia palmicida,b.5.0,900
Clusia penduliflora,a.10.5,500
Clusia penduliflora,c.0.-5,1500
Clusia penduliflora,f.-15.-20,1000
Clusia schomburgkiana,a.10.5,2100
Clusia schomburgkiana,b.5.0,2600
Clusia schomburgkiana,d.-5.-10,200
Clusia sphaerocarpa,b.5.0,1700
Clusia sphaerocarpa,c.0.-5,2400
Clusia sphaerocarpa,d.-5.-10,1400
Clusia sphaerocarpa,e.-10.-15,1500
Clusia sphaerocarpa,f.-15.-20,2400
Clusia thurifera,a.10.5,1500
Clusia thurifera,c.0.-5,1000
Clusia thurifera,d.-5.-10,200
Clusia thurifera,e.-10.-15,700
Clusia trochiformis,a.10.5,1600
Clusia trochiformis,b.5.0,400
Clusia trochiformis,c.0.-5,1000
Clusia trochiformis,d.-5.-10,1200
Clusia trochiformis,e.-10.-15,2900
Clusia trochiformis,f.-15.-20,1600
Coccoloba acuminata,a.10.5,500
Coccoloba acuminata,b.5.0,400
Coccoloba acuminata,d.-5.-10,100
Coccoloba acuminata,e.-10.-15,400
Coccoloba ascendens,a.10.5,200
Coccoloba ascendens,b.5.0,200
Coccoloba coronata,a.10.5,1200
Coccoloba coronata,c.0.-5,200
Coccoloba coronata,d.-5.-10,200
Coccoloba densifrons,a.10.5,300
Coccoloba densifrons,b.5.0,300
Coccoloba densifrons,c.0.-5,900
Coccoloba densifrons,d.-5.-10,200
Coccoloba densifrons,e.-10.-15,100
Coccoloba excelsa,a.10.5,100
Coccoloba excelsa,b.5.0,800
Coccoloba lehmannii,c.0.-5,500
Coccoloba mollis,a.10.5,500
Coccoloba mollis,b.5.0,400
Coccoloba mollis,c.0.-5,900
Coccoloba mollis,d.-5.-10,1500
Coccoloba mollis,e.-10.-15,1500
Coccoloba mollis,f.-15.-20,1300
Coccoloba obovata,a.10.5,1200
Coccoloba obovata,b.5.0,300
Coccoloba obovata,c.0.-5,300
Cochlospermum orinocense,a.10.5,900
Cochlospermum orinocense,b.5.0,400
Cochlospermum orinocense,d.-5.-10,100
Cochlospermum orinocense,e.-10.-15,400
Coffea arabica,a.10.5,1600
Coffea arabica,b.5.0,1900
Coffea arabica,c.0.-5,2000
Coffea arabica,d.-5.-10,1300
Coffea arabica,e.-10.-15,1900
Coffea arabica,f.-15.-20,1500
Conceveiba terminalis,b.5.0,100
Conceveiba terminalis,e.-10.-15,800
Condaminea corymbosa,a.10.5,1400
Condaminea corymbosa,b.5.0,1800
Condaminea corymbosa,c.0.-5,2200
Condaminea corymbosa,d.-5.-10,1900
Condaminea corymbosa,e.-10.-15,2400
Condaminea corymbosa,f.-15.-20,2400
Cordia alliodora,a.10.5,1700
Cordia alliodora,b.5.0,3300
Cordia alliodora,c.0.-5,2000
Cordia alliodora,d.-5.-10,2600
Cordia alliodora,e.-10.-15,1800
Cordia alliodora,f.-15.-20,1400
Cordia bicolor,a.10.5,1200
Cordia bicolor,b.5.0,200
Cordia bicolor,d.-5.-10,200
Cordia bicolor,e.-10.-15,1500
Cordia bicolor,f.-15.-20,1000
Cordia bogotensis,a.10.5,1900
Cordia bogotensis,b.5.0,1100
Cordia dwyeri,a.10.5,700
Cordia dwyeri,b.5.0,300
Cordia nodosa,a.10.5,1300
Cordia nodosa,b.5.0,1200
Cordia nodosa,c.0.-5,1200
Cordia nodosa,d.-5.-10,1500
Cordia nodosa,e.-10.-15,3400
Cordia nodosa,f.-15.-20,1200
Cordia panamensis,a.10.5,1600
Cordia panamensis,b.5.0,1400
Cordiera myrciifolia,a.10.5,900
Cordiera myrciifolia,b.5.0,100
Cordiera myrciifolia,e.-10.-15,500
Cornus peruviana,a.10.5,700
Cornus peruviana,b.5.0,1500
Cornus peruviana,c.0.-5,2100
Cornus peruviana,d.-5.-10,1300
Cornus peruviana,e.-10.-15,1800
Cornus peruviana,f.-15.-20,700
Cornutia pyramidata,a.10.5,500
Cornutia pyramidata,b.5.0,1500
Cornutia pyramidata,c.0.-5,1800
Cornutia pyramidata,d.-5.-10,600
Cornutia pyramidata,e.-10.-15,1000
Cosmibuena grandiflora,a.10.5,1100
Cosmibuena grandiflora,b.5.0,1300
Cosmibuena grandiflora,c.0.-5,900
Cosmibuena grandiflora,d.-5.-10,1700
Cosmibuena grandiflora,e.-10.-15,1600
Cosmibuena grandiflora,f.-15.-20,1600
Couma macrocarpa,a.10.5,700
Couma macrocarpa,b.5.0,700
Couma macrocarpa,c.0.-5,500
Couma macrocarpa,d.-5.-10,400
Couma macrocarpa,e.-10.-15,500
Couratari guianensis,a.10.5,800
Couratari guianensis,b.5.0,500
Couratari guianensis,c.0.-5,200
Couratari guianensis,d.-5.-10,100
Couratari guianensis,e.-10.-15,600
Couroupita guianensis,a.10.5,100
Couroupita guianensis,b.5.0,400
Couroupita guianensis,c.0.-5,400
Couroupita guianensis,d.-5.-10,200
Couroupita guianensis,e.-10.-15,100
Coussapoa contorta,a.10.5,900
Coussapoa contorta,b.5.0,900
Coussapoa contorta,c.0.-5,1000
Coussapoa crassivenosa,a.10.5,400
Coussapoa crassivenosa,b.5.0,800
Coussapoa crassivenosa,c.0.-5,1300
Coussapoa herthae,a.10.5,1000
Coussapoa herthae,b.5.0,500
Coussapoa herthae,c.0.-5,700
Coussapoa villosa,a.10.5,1800
Coussapoa villosa,b.5.0,1500
Coussapoa villosa,c.0.-5,1800
Coussapoa villosa,d.-5.-10,2000
Coussapoa villosa,e.-10.-15,1700
Coussapoa villosa,f.-15.-20,100
Coussarea hirticalyx,b.5.0,700
Coussarea hirticalyx,c.0.-5,400
Coussarea hirticalyx,d.-5.-10,800
Coussarea hirticalyx,e.-10.-15,100
Coussarea klugii,c.0.-5,1000
Coussarea klugii,d.-5.-10,700
Coussarea paniculata,a.10.5,1900
Coussarea paniculata,b.5.0,1300
Coussarea paniculata,c.0.-5,1300
Coussarea paniculata,d.-5.-10,1100
Coussarea paniculata,e.-10.-15,1400
Coussarea paniculata,f.-15.-20,700
Coutarea hexandra,a.10.5,1100
Coutarea hexandra,b.5.0,700
Coutarea hexandra,c.0.-5,700
Coutarea hexandra,d.-5.-10,600
Coutarea hexandra,e.-10.-15,1100
Coutarea hexandra,f.-15.-20,1300
Crepidospermum rhoifolium,a.10.5,1000
Crepidospermum rhoifolium,b.5.0,600
Crepidospermum rhoifolium,c.0.-5,500
Croton gossypiifolius,a.10.5,1100
Croton gossypiifolius,b.5.0,800
Croton lechleri,b.5.0,1100
Croton lechleri,c.0.-5,2200
Croton lechleri,d.-5.-10,1700
Croton lechleri,e.-10.-15,2200
Croton lechleri,f.-15.-20,1200
Croton mutisianus,a.10.5,1900
Croton mutisianus,b.5.0,1700
Croton mutisianus,c.0.-5,1300
Croton schiedeanus,a.10.5,1100
Croton schiedeanus,b.5.0,800
Croton schiedeanus,c.0.-5,1000
Croton schiedeanus,d.-5.-10,1100
Croton schiedeanus,e.-10.-15,400
Cuatresia cuspidata,a.10.5,100
Cuatresia cuspidata,b.5.0,100
Cuatresia cuspidata,c.0.-5,700
Cuatresia riparia,a.10.5,1900
Cuatresia riparia,b.5.0,1600
Cuatresia riparia,c.0.-5,2100
Cupania americana,a.10.5,1200
Cupania americana,b.5.0,1600
Cupania americana,e.-10.-15,2200
Cupania cinerea,a.10.5,1500
Cupania cinerea,b.5.0,3400
Cupania cinerea,c.0.-5,1800
Cupania cinerea,d.-5.-10,700
Cupania cinerea,e.-10.-15,1500
Cupania cinerea,f.-15.-20,1300
Cupania latifolia,a.10.5,2200
Cupania latifolia,b.5.0,1600
Cupania latifolia,c.0.-5,1400
Cupania latifolia,d.-5.-10,2500
Cupania latifolia,e.-10.-15,1300
Cupania latifolia,f.-15.-20,1200
Cupania scrobiculata,a.10.5,1600
Cupania scrobiculata,b.5.0,1300
Cupania scrobiculata,d.-5.-10,600
Cupania scrobiculata,e.-10.-15,600
Curatella americana,a.10.5,900
Curatella americana,b.5.0,600
Curatella americana,d.-5.-10,200
Curatella americana,e.-10.-15,1600
Curatella americana,f.-15.-20,100
Cyathea andina,a.10.5,800
Cyathea andina,b.5.0,900
Cyathea andina,e.-10.-15,1300
Cyathea andina,f.-15.-20,400
Cyathea bipinnatifida,a.10.5,500
Cyathea bipinnatifida,b.5.0,1400
Cyathea bipinnatifida,c.0.-5,1700
Cyathea bipinnatifida,d.-5.-10,2500
Cyathea bipinnatifida,e.-10.-15,2800
Cyathea bipinnatifida,f.-15.-20,800
Cyathea caracasana,a.10.5,1600
Cyathea caracasana,b.5.0,2100
Cyathea caracasana,c.0.-5,1800
Cyathea caracasana,d.-5.-10,400
Cyathea caracasana,e.-10.-15,1400
Cyathea conjugata,a.10.5,1300
Cyathea conjugata,b.5.0,1300
Cyathea conjugata,c.0.-5,900
Cyathea conjugata,d.-5.-10,1000
Cyathea conjugata,e.-10.-15,2000
Cyathea conjugata,f.-15.-20,600
Cyathea delgadii,a.10.5,1300
Cyathea delgadii,b.5.0,1900
Cyathea delgadii,c.0.-5,2100
Cyathea delgadii,d.-5.-10,1900
Cyathea delgadii,e.-10.-15,2600
Cyathea delgadii,f.-15.-20,1800
Cyathea divergens,a.10.5,1200
Cyathea divergens,b.5.0,1100
Cyathea divergens,e.-10.-15,1300
Cyathea fulva,a.10.5,1200
Cyathea fulva,b.5.0,1500
Cyathea fulva,c.0.-5,1600
Cyathea kalbreyeri,a.10.5,600
Cyathea kalbreyeri,c.0.-5,400
Cyathea kalbreyeri,e.-10.-15,1200
Cyathea lechleri,b.5.0,1400
Cyathea lechleri,c.0.-5,1100
Cyathea lechleri,d.-5.-10,2200
Cyathea lechleri,e.-10.-15,2900
Cyathea lechleri,f.-15.-20,1100
Cyathea lindeniana,a.10.5,900
Cyathea lindeniana,b.5.0,1300
Cyathea lindeniana,d.-5.-10,1600
Cyathea lindeniana,e.-10.-15,1700
Cyathea meridensis,a.10.5,1800
Cyathea meridensis,b.5.0,1300
Cyathea meridensis,c.0.-5,1100
Cyathea meridensis,d.-5.-10,800
Cyathea meridensis,e.-10.-15,800
Cyathea multiflora,a.10.5,700
Cyathea multiflora,b.5.0,800
Cyathea multiflora,c.0.-5,1500
Cyathea multiflora,e.-10.-15,700
Cyathea multiflora,f.-15.-20,500
Cyathea nigripes,a.10.5,100
Cyathea nigripes,b.5.0,700
Cyathea nigripes,c.0.-5,900
Cyathea pallescens,b.5.0,1500
Cyathea pallescens,c.0.-5,1700
Cyathea pallescens,d.-5.-10,500
Cyathea pallescens,e.-10.-15,700
Cyathea pallescens,f.-15.-20,1900
Cyathea pauciflora,a.10.5,1100
Cyathea pilosissima,a.10.5,400
Cyathea pilosissima,b.5.0,400
Cyathea pilosissima,c.0.-5,1600
Cyathea pilosissima,d.-5.-10,1400
Cyathea pilosissima,e.-10.-15,2200
Cyathea pungens,a.10.5,1200
Cyathea pungens,b.5.0,1400
Cyathea pungens,c.0.-5,1500
Cyathea pungens,d.-5.-10,1600
Cyathea pungens,e.-10.-15,1400
Cyathea pungens,f.-15.-20,1200
Cyathea squamipes,a.10.5,600
Cyathea squamipes,b.5.0,1300
Cyathea squamipes,c.0.-5,1600
Cyathea squamipes,d.-5.-10,2200
Cyathea squamipes,e.-10.-15,2700
Cyathea squamipes,f.-15.-20,2100
Cybianthus humilis,a.10.5,200
Cybianthus humilis,c.0.-5,600
Cybianthus marginatus,a.10.5,2200
Cybianthus marginatus,b.5.0,1100
Cybianthus marginatus,c.0.-5,2100
Cybianthus marginatus,d.-5.-10,1800
Cybianthus marginatus,e.-10.-15,800
Cybianthus pastensis,a.10.5,2000
Cybianthus pastensis,b.5.0,2400
Cybianthus pastensis,c.0.-5,1300
Cybianthus pastensis,d.-5.-10,600
Cybianthus pastensis,e.-10.-15,1700
Cybianthus poeppigii,a.10.5,1500
Cybianthus poeppigii,b.5.0,1600
Cybianthus poeppigii,c.0.-5,1200
Cybianthus poeppigii,e.-10.-15,600
Cybianthus schlimii,a.10.5,1100
Cybianthus schlimii,b.5.0,1300
Cybianthus schlimii,c.0.-5,500
Cybianthus venezuelanus,a.10.5,2000
Cybianthus venezuelanus,b.5.0,1500
Cybianthus venezuelanus,c.0.-5,1400
Cybianthus venezuelanus,e.-10.-15,1300
Cybianthus venezuelanus,f.-15.-20,1200
Cynometra bauhiniifolia,a.10.5,100
Cynophalla flexuosa,a.10.5,600
Cynophalla flexuosa,b.5.0,300
Cynophalla flexuosa,c.0.-5,900
Cynophalla flexuosa,d.-5.-10,800
Cynophalla flexuosa,e.-10.-15,200
Cynophalla flexuosa,f.-15.-20,1300
Dacryodes belemensis,f.-15.-20,300
Dacryodes peruviana,a.10.5,300
Dacryodes peruviana,b.5.0,300
Dacryodes peruviana,c.0.-5,1200
Dacryodes peruviana,d.-5.-10,200
Delostoma integrifolium,a.10.5,600
Delostoma integrifolium,b.5.0,1000
Delostoma integrifolium,c.0.-5,2200
Delostoma integrifolium,d.-5.-10,1600
Delostoma integrifolium,e.-10.-15,800
Dendrobangia boliviana,a.10.5,1100
Dendrobangia boliviana,b.5.0,1200
Dendrobangia boliviana,c.0.-5,1300
Dendrobangia boliviana,d.-5.-10,1500
Dendrobangia boliviana,e.-10.-15,1500
Dendropanax arboreus,a.10.5,2400
Dendropanax arboreus,b.5.0,1700
Dendropanax arboreus,c.0.-5,1500
Dendropanax arboreus,e.-10.-15,1600
Dendropanax arboreus,f.-15.-20,1900
Dendropanax caucanus,a.10.5,700
Dendropanax caucanus,b.5.0,1600
Dendropanax caucanus,c.0.-5,1200
Dendropanax macrophyllus,a.10.5,600
Dendropanax macrophyllus,b.5.0,800
Dialium guianense,a.10.5,900
Dialium guianense,b.5.0,800
Dialium guianense,c.0.-5,400
Dialium guianense,e.-10.-15,300
Dicksonia karsteniana,b.5.0,1300
Dicksonia karsteniana,e.-10.-15,800
Dicksonia karsteniana,f.-15.-20,200
Dicksonia sellowiana,a.10.5,2200
Dicksonia sellowiana,b.5.0,2200
Dicksonia sellowiana,c.0.-5,2700
Dicksonia sellowiana,d.-5.-10,1500
Dicksonia sellowiana,e.-10.-15,2300
Dicksonia sellowiana,f.-15.-20,1200
Dictyocaryum lamarckianum,a.10.5,1000
Dictyocaryum lamarckianum,b.5.0,400
Dictyocaryum lamarckianum,c.0.-5,1200
Dictyocaryum lamarckianum,e.-10.-15,800
Dictyocaryum lamarckianum,f.-15.-20,1000
Dieffenbachia seguine,a.10.5,1000
Dieffenbachia seguine,b.5.0,1100
Dieffenbachia seguine,c.0.-5,900
Dimorphandra macrostachya,a.10.5,100
Dimorphandra macrostachya,b.5.0,400
Dioicodendron dioicum,a.10.5,1700
Dioicodendron dioicum,b.5.0,800
Dioicodendron dioicum,c.0.-5,1600
Dioicodendron dioicum,d.-5.-10,2300
Dioicodendron dioicum,e.-10.-15,2000
Diospyros artanthifolia,a.10.5,1000
Diospyros artanthifolia,c.0.-5,500
Diospyros artanthifolia,d.-5.-10,600
Diospyros artanthifolia,e.-10.-15,900
Discophora guianensis,a.10.5,1300
Discophora guianensis,b.5.0,1300
Discophora guianensis,c.0.-5,900
