species,min_elevation,max_elevation,range
Myrcia paivae,1000,3400,2400
Myrcia paive,1000,3400,2400
Myrcia popayanensis,1500,1800,300
Myrcia splendens,2000,2900,900
Myrcia sylvatica,0,2100,2100
Myrcianthes myrsinoides,0,1700,1700
Myrcianthes orthostemon,0,1700,1700
Myrcianthes rhopaloides,1000,2300,1300
Myriocarpa stipitata,400,2600,2200
Myroxylon balsamum,0,1500,1500
Myrsine andina,700,2100,1400
Myrsine coriacea,0,2800,2800
Myrsine dependens,1000,2600,1600
Myrsine guianensis,600,3300,2700
Myrsine latifolia,1700,2600,900
Myrsine oligophylla,0,1700,1700
Myrsine pellucida,1900,3100,1200
Myrsine pellucidopunctata,1500,1500,0
Naucleopsis capirensis,1300,1500,200
Naucleopsis glabra,0,2000,2000
Naucleopsis naga,0,1400,1400
Naucleopsis ulei,0,1500,1500
Nectandra acutifolia,1300,2000,700
Nectandra cuspidata,700,2100,1400
Nectandra laurel,1000,2000,1000
Nectandra lineata,0,1300,1300
Nectandra lineatifolia,300,1600,1300
Nectandra membranacea,0,2800,2800
Nectandra obtusata,0,1400,1400
Nectandra reticulata,1800,3300,1500
Neea amplifolia,0,1300,1300
Neea divaricata,600,1800,1200
Neea floribunda,0,1400,1400
Neea parviflora,0,800,800
Neea spruceana,0,1300,1300
Neea virens,0,1400,1400
Norantea guianensis,100,1800,1700
Notopleura macrophylla,1900,2700,800
Notopleura siggersiana,700,1800,1100
Ochroma pyramidale,1200,3200,2000
Ocotea aciphylla,1300,2400,1100
Ocotea bofo,500,2300,1800
Ocotea cernua,800,1800,1000
Ocotea floribunda,1200,2700,1500
Ocotea guianensis,300,3100,2800
Ocotea insularis,500,2000,1500
Ocotea javitensis,0,2100,2100
Ocotea leucoxylon,1200,1700,500
Ocotea longifolia,1300,2300,1000
Ocotea macropoda,1200,1200,0
Ocotea micans,0,1800,1800
Ocotea multinervis,0,0,0
Ocotea oblonga,1200,1900,700
Ocotea puberula,100,2800,2700
Ocotea sericea,0,2200,2200
Ocotea smithiana,600,1500,900
Ocotea tessmannii,0,1400,1400
Oenocarpus bacaba,0,100,100
Oenocarpus bataua,600,1200,600
Oenocarpus mapora,0,2800,2800
Oenocarpus minor,100,900,800
Olmedia aspera,1200,3000,1800
Oreopanax bogotensis,1400,1700,300
Oreopanax capitatus,0,2200,2200
Oreopanax discolor,1000,1600,600
Oreopanax incisus,0,2200,2200
Oreopanax microflorous,0,1600,1600
Oreopanax palamophyllus,0,2100,2100
Ormosia antioquensis,800,800,0
Ormosia cuatrecasasii,200,200,0
Orthaea glandulifera,1100,1100,0
Ossaea micrantha,0,2000,2000
Osteophloeum platyspermum,100,1300,1200
Otoba gordoniifolia,300,1600,1300
Otoba novogranatensis,1500,1600,100
Otoba parvifolia,0,2400,2400
Ouratea amplifolia,0,1100,1100
Ouratea pendula,0,500,500
Ouratea rubricyanea,400,400,0
Oxandra longipetala,0,0,0
Oxandra panamensis,200,200,0
Oxandra venezuelana,700,700,0
Pachira mutisiana,200,200,0
Palicourea acetosoides,1300,1600,300
Palicourea amethystina,700,2700,2000
Palicourea andaluciana,0,2100,2100
Palicourea angustifolia,400,2100,1700
Palicourea apicata,0,2100,2100
Palicourea calophlebia,0,800,800
Palicourea cogolloi,800,1700,900
Palicourea demissa,1400,2700,1300
Palicourea garciae,300,3200,2900
Palicourea guianensis,1600,3400,1800
Palicourea latifolia,0,800,800
Palicourea leuconeura,1600,1600,0
Palicourea luteonivea,0,1700,1700
Palicourea lyristipula,400,3000,2600
Palicourea obovata,0,3200,3200
Palicourea perquadrangularis,900,1600,700
Palicourea pyramidalis,700,1800,1100
Palicourea rigidifolia,1000,1000,0
Palicourea stipularis,700,2700,2000
Palicourea sulphurea,400,2200,1800
Palicourea thyrsiflora,1300,2700,1400
Palicourea weberbaueri,700,2200,1500
Panopsis metcalfii,0,500,500
Panopsis mucronata,0,800,800
Panopsis polystachya,0,2100,2100
Panopsis rubescens,0,2300,2300
Panopsis suaveolens,300,1000,700
Panopsis yolombo,1200,1200,0
Paragynoxys corei,100,100,0
Parathesis adenanthera,100,1400,1300
Parinari pachyphylla,0,0,0
Passiflora arborea,100,2300,2200
Passiflora macrophylla,100,1800,1700
Paullinia capreolata,0,1800,1800
Pausandra trianae,0,700,700
Peltogyne paniculata,0,1000,1000
Peltogyne purpurea,100,100,0
Pentacalia theifolia,0,1000,1000
Pentagonia grandiflora,0,1200,1200
Pentagonia macrophylla,0,1300,1300
Peperomia elongata,0,1400,1400
Pera arborea,0,1200,1200
Pera colombiana,600,600,0
Pera glabrata,100,1100,1000
Perebea angustifolia,0,1700,1700
Perebea guianensis,1100,1900,800
Perebea xanthochyma,800,1700,900
Perissocarpa steyermarkii,0,300,300
Perrottetia sessiliflora,0,1100,1100
Persea americana,500,3300,2800
Persea areolatocostae,700,2600,1900
Persea caerulea,1500,3100,1600
Persea chrysophylla,1000,1000,0
Persea cuneata,0,800,800
Persea ferruginea,100,600,500
Persea mutisii,100,1800,1700
Persea pseudofasciculata,0,1600,1600
Persea rigens,0,1200,1200
Persea subcordata,300,2100,1800
Petrea pubescens,0,3500,3500
Pholidostachys dactyloides,500,1300,800
Phyllanthus acuminatus,0,1700,1700
Phyllanthus attenuatus,1000,1700,700
Picramnia sellowii,0,2800,2800
Picrolemma huberi,900,900,0
Pinus patula,300,1900,1600
Piper adenandrum,0,0,0
Axinaea colombiana,0,100,100
Axinaea lehmannii,1200,1700,500
Axinaea macrophylla,1100,1700,600
Axinaea scutigera,0,900,900
Baccharis brachylaenoides,800,2500,1700
Baccharis latifolia,700,3500,2800
Baccharis oblongifolia,1100,2200,1100
Bactris barronis,100,100,0
Bactris gasipaes,0,1500,1500
Bactris maraja,300,900,600
Bactris pilosa,500,500,0
Bactris setulosa,100,1500,1400
Banara glauca,1200,1300,100
Banara guianensis,1500,2900,1400
Banara ibaguensis,0,0,0
Batocarpus costaricensis,100,1100,1000
Bauhinia picta,0,2000,2000
Beilschmiedia costaricensis,0,1900,1900
Beilschmiedia latifolia,0,2200,2200
Beilschmiedia pendula,0,1500,1500
Beilschmiedia tovarensis,600,2700,2100
Bejaria aestuans,900,3400,2500
Bejaria resinosa,0,2000,2000
Bellucia grossularioides,0,1900,1900
Bellucia pentamera,900,2000,1100
Bertiera angustifolia,0,800,800
Besleria formosa,1400,2100,700
Billia rosea,1400,3600,2200
Blakea cuatrecasii,600,1300,700
Blakea holtonii,0,500,500
Piper aduncum,1000,3000,2000
Piper amalago,300,2200,1900
Piper arboreum,700,2400,1700
Piper archeri,900,2000,1100
Piper artanthe,1100,1800,700
Piper augustum,900,2200,1300
Piper barbatum,200,2900,2700
Piper carpunya,0,2000,2000
Piper cernuum,0,2100,2100
Piper crassinervium,1200,2600,1400
Piper daniel-gonzalezii,500,500,0
Piper divulgatum,1200,1200,0
Piper glanduligerum,0,1100,1100
Piper gorgonillense,600,1100,500
Piper grande,100,700,600
Piper imperiale,800,1100,300
Piper lacunosum,400,2500,2100
Piper longispicum,0,1100,1100
Piper marequitense,0,1600,1600
Piper munchanum,400,1500,1100
Piper nubigenum,0,2500,2500
Piper obliquum,0,2600,2600
Piper phytolaccifolium,0,2600,2600
Piper reticulatum,100,1300,1200
Piper scobinifolium,300,300,0
Piper tuberculatum,500,1900,1400
Piptocoma discolor,0,2900,2900
Pithecellobium dulce,1100,1500,400
Platymiscium darienense,1300,1300,0
Platymiscium hebestachyum,800,800,0
Platymiscium pinnatum,0,1400,1400
Platymiscium stipulare,0,1000,1000
Platypodium elegans,0,2200,2200
Pleuranthodendron lindenii,300,1100,800
Pleurothyrium cuneifolium,600,2200,1600
Pleurothyrium glabritepalum,0,0,0
Pleurothyrium trianae,100,1900,1800
Plumeria rubra,0,2400,2400
Podocarpus guatemalensis,0,1700,1700
Podocarpus oleifolius,1600,3100,1500
Poeppigia procera,0,200,200
Pogonopus speciosus,0,300,300
Polybotrya polybotryoides,0,1200,1200
Posoqueria coriacea,1500,3200,1700
Posoqueria latifolia,100,2400,2300
Potalia amara,400,1100,700
Poulsenia armata,800,1800,1000
Pourouma bicolor,700,1600,900
Pourouma cecropiifolia,900,2000,1100
Pourouma guianensis,0,1700,1700
Pourouma hirsutipetiolata,0,900,900
Pourouma melinonii,0,1600,1600
Pourouma minor,700,3000,2300
Pouteria baehniana,1000,1900,900
Pouteria bangii,0,1800,1800
Pouteria bilocularis,0,1700,1700
Pouteria caimito,200,2100,1900
Pouteria cuspidata,200,1500,1300
Pouteria durlandii,600,1000,400
Pouteria glomerata,0,1200,1200
Pouteria guianensis,0,0,0
Pouteria lucuma,500,2100,1600
Pouteria multiflora,100,1600,1500
Pouteria reticulata,0,1000,1000
Pouteria sapota,0,0,0
Pouteria stipitata,0,0,0
Pouteria subrotata,0,100,100
Pouteria torta,1400,3500,2100
Pradosia colombiana,600,600,0
Praecereus euchlorus,0,1400,1400
Prestoea acuminata,1000,2200,1200
Prestoea decurrens,500,1000,500
Prestoea ensiformis,0,1800,1800
Prionostemma asperum,100,300,200
Protium altsonii,0,3300,3300
Protium amplum,900,1100,200
Protium apiculatum,0,800,800
Protium aracouchini,600,1300,700
Protium colombianum,1200,1200,0
Protium divaricatum,0,1200,1200
Protium ecuadorense,0,1700,1700
Protium guianense,0,400,400
Protium macrophyllum,0,500,500
Protium opacum,0,1600,1600
Protium panamense,0,0,0
Protium sagotianum,300,1000,700
Protium spruceanum,100,1300,1200
Protium subserratum,500,1000,500
Protium tenuifolium,300,1500,1200
Protium tovarense,800,1400,600
Protium unifoliolatum,0,900,900
Prumnopitys montana,0,2400,2400
Prunus debilis,600,2800,2200
Prunus integrifolia,0,2200,2200
Prunus myrtifolia,0,0,0
Prunus opaca,1100,1400,300
Prunus subcorymbosa,0,1800,1800
Psammisia graebneriana,100,1400,1300
Psammisia macrophylla,1000,1600,600
Pseudobombax septenatum,200,1200,1000
Pseudolmedia laevigata,1300,1800,500
Pseudolmedia laevis,1000,2400,1400
Pseudolmedia rigida,0,2800,2800
Pseudomalmea boyacana,0,0,0
Pseudoxandra pacifica,0,0,0
Pseudoxandra sclerocarpa,900,900,0
Psidium cattleyanum,2200,2200,0
Psidium guineense,800,2600,1800
Psychotria biaristata,0,300,300
Psychotria brachiata,1000,1200,200
Psychotria capitata,0,1100,1100
Psychotria cauligera,0,800,800
Psychotria ernestii,0,1200,1200
Psychotria fortuita,400,1000,600
Psychotria grandis,0,0,0
Psychotria horizontalis,0,1000,1000
Psychotria micrantha,400,2100,1700
Psychotria monsalveae,1000,1000,0
Psychotria officinalis,500,600,100
Psychotria panamensis,700,1100,400
Psychotria remota,1000,1800,800
Psychotria saltatrix,100,400,300
Pterandra colombiana,100,100,0
Pterocarpus acapulcensis,1000,1000,0
Pterocarpus officinalis,600,1100,500
Pterocarpus rohrii,200,900,700
Pterygota colombiana,700,700,0
Quadrella odoratissima,100,1000,900
Qualea lineata,800,800,0
Qualea paraensis,100,700,600
Quararibea cogolloi,0,0,0
Quararibea pterocalyx,0,0,0
Quercus humboldtii,2300,2400,100
Quiina florida,400,2000,1600
Quiina macrophylla,0,200,200
Quiina pteridophylla,0,300,300
Randia armata,700,3200,2500
Randia hondensis,700,700,0
Rauvolfia leptophylla,200,2100,1900
Retrophyllum rospigliosii,500,3200,2700
Rhodostemonodaphne kunthiana,900,2000,1100
Rhodostemonodaphne laxa,0,700,700
Rhodostemonodaphne velutina,0,0,0
Richeria grandis,1300,2100,800
Rinorea dasyadena,400,400,0
Rinorea haughtii,0,0,0
Rinorea hirsuta,300,300,0
Rinorea lindeniana,0,1000,1000
Rinorea paniculata,100,600,500
Rinorea pubiflora,0,500,500
Rinorea sylvatica,100,100,0
Rinorea viridifolia,300,1400,1100
Rinoreocarpus ulei,0,1000,1000
Ronabea latifolia,400,1200,800
Roucheria columbiana,100,600,500
Roucheria laxiflora,100,1100,1000
Roupala monosperma,300,2000,1700
Roupala montana,600,2200,1600
Ruagea glabra,1000,3100,2100
Ruagea hirsuta,600,2500,1900
Ruagea pubescens,0,1300,1300
Rudgea cornifolia,700,1800,1100
Rudgea sclerocalyx,2300,2300,0
Ruprechtia tenuiflora,100,100,0
Rustia occidentalis,0,0,0
Ryania spruceana,100,400,300
Salacia cordata,0,1700,1700
Sambucus nigra,0,2200,2200
Sapindus saponaria,1500,2400,900
Sapium glandulosum,1900,3800,1900
Sapium laurifolium,0,1700,1700
Sapium marmieri,0,2100,2100
Sapium stylare,0,3000,3000
Sarcaulus brasiliensis,0,1600,1600
Saurauia brachybotrys,2000,2100,100
Saurauia bullosa,0,1900,1900
Saurauia cuatrecasana,1200,2400,1200
Saurauia laevigata,0,800,800
Saurauia prainiana,0,1800,1800
Saurauia scabra,700,2700,2000
Saurauia stapfiana,0,1300,1300
Saurauia tomentosa,700,1800,1100
Saurauia ursina,1600,2500,900
Schefflera bejucosa,2200,2200,0
Schefflera bogotensis,1100,1400,300
Schefflera jahnii,0,0,0
Schefflera minutiflora,600,900,300
Schizocalyx bracteosa,200,1400,1200
Schizolobium parahyba,100,800,700
Schnella glabra,0,1300,1300
Senefeldera testiculata,0,900,900
Senegalia polyphylla,500,1400,900
Senegalia riparia,200,2900,2700
Senna bacillaris,0,1500,1500
Senna ruiziana,0,1500,1500
Senna silvestris,600,1200,600
Senna spectabilis,500,2800,2300
Sideroxylon obtusifolium,0,1900,1900
Simarouba amara,1300,1800,500
Simira cordifolia,300,900,600
Simira rubescens,0,800,800
Siparuna aspera,1400,2600,1200
Siparuna cervicornis,200,1000,800
Siparuna conica,100,1700,1600
Siparuna decipiens,0,1300,1300
Siparuna echinata,600,1800,1200
Siparuna gigantotepala,0,1300,1300
Siparuna guianensis,700,1300,600
Siparuna laurifolia,0,1500,1500
Siparuna lepidota,900,2000,1100
Siparuna mutisii,700,1100,400
Siparuna thecaphora,1700,2500,800
Siphoneugena dussii,0,1400,1400
Sisyrinchium micranthum,300,2100,1800
Sloanea brevispina,0,1200,1200
Sloanea durissima,0,2000,2000
Sloanea eichleri,0,800,800
Sloanea fragrans,200,2300,2100
Sloanea gracilis,800,1400,600
Sloanea guianensis,700,2000,1300
Sloanea latifolia,0,800,800
Sloanea pubescens,0,1400,1400
Sloanea robusta,0,200,200
Sloanea rufa,0,1900,1900
Sloanea terniflora,0,900,900
Sloanea tuerckheimii,400,1800,1400
Socratea exorrhiza,400,3600,3200
Socratea rostrata,400,1300,900
Solanum allophyllum,0,0,0
Solanum anceps,1200,2900,1700
Solanum aphyodendron,0,2700,2700
Solanum arboreum,0,1900,1900
Solanum asperolanatum,2300,2800,500
Solanum hypaleurotrichum,0,2900,2900
Solanum lepidotum,500,2200,1700
Solanum microleprodes,0,700,700
Solanum nutans,0,2800,2800
Solanum oblongifolium,1200,2100,900
Solanum umbellatum,0,1100,1100
Sorocea affinis,1300,1300,0
Sorocea pubivena,1000,1500,500
Sorocea sprucei,200,1200,1000
Sorocea steinbachii,0,2600,2600
Sorocea trophoides,1000,1600,600
Sphaeropteris quindiuensis,100,1800,1700
Spirotheca rosea,200,1300,1100
Spondias mombin,0,1400,1400
Spondias radlkoferi,0,900,900
Staphylea occidentalis,700,3200,2500
Stenosepala hirsuta,900,900,0
Stenostomum acreanum,0,300,300
Stephanopodium angulatum,100,300,200
Stephanopodium aptotum,0,0,0
Sterculia apetala,200,2300,2100
Blakea quadrangularis,0,2400,2400
Bocconia frutescens,1500,2500,1000
Bocconia integrifolia,1200,2900,1700
Boehmeria caudata,900,2700,1800
Boehmeria ulmifolia,0,2400,2400
Bomarea multiflora,0,2800,2800
Bonamia trichantha,400,800,400
Brachycylix vageleri,500,500,0
Brosimum alicastrum,200,1800,1600
Brosimum guianense,800,2400,1600
Brosimum lactescens,600,1400,800
Brosimum rubescens,100,900,800
Brosimum utile,200,1900,1700
Brownea multijuga,0,600,600
Brownea rosa-de-monte,0,500,500
Brownea santanderensis,0,0,0
Brunellia acostae,500,1600,1100
Brunellia boqueronensis,100,100,0
Brunellia comocladifolia,1000,2100,1100
Brunellia dulcis,0,900,900
Brunellia sibundoya,0,1600,1600
Brunellia subsessilis,1300,1300,0
Brunellia trianae,1000,1000,0
Bucquetia glutinosa,1100,1500,400
Sterculia pruriens,0,500,500
Sterculia speciosa,0,0,0
Sterigmapetalum colombianum,0,0,0
Sterigmapetalum tachirense,0,0,0
Stilpnophyllum oellgaardii,600,2300,1700
Strychnos guianensis,0,500,500
Strychnos toxifera,0,300,300
Stryphnodendron microstachyum,0,600,600
Styloceras laurifolium,0,3000,3000
Stylogyne ardisioides,0,2400,2400
Stylogyne longifolia,100,1100,1000
Stylogyne turbacensis,200,1200,1000
Styphnolobium sporadicum,0,0,0
Styrax davillifolius,2300,2300,0
Styrax pavonii,800,2300,1500
Styrax pentlandianus,0,2200,2200
Styrax tomentosus,600,1300,700
Swartzia amplifolia,600,600,0
Swartzia colombiana,300,300,0
Swartzia macrophylla,0,1300,1300
Swartzia myrtifolia,100,2300,2200
Swartzia oraria,0,800,800
Swartzia robiniifolia,300,300,0
Swartzia schultesii,0,100,100
Swartzia simplex,200,1400,1200
Swietenia macrophylla,200,1200,1000
Symbolanthus pterocalyx,1800,1800,0
Symphonia globulifera,500,1900,1400
Symplocos bogotensis,0,1600,1600
Symplocos flosfragrans,500,900,400
Symplocos phaeoneura,1200,1200,0
Symplocos theiformis,1000,1100,100
Tabebuia ochracea,0,0,0
Tabebuia rosea,800,1600,800
Tabernaemontana columbiensis,0,700,700
Tabernaemontana cymosa,200,1500,1300
Tabernaemontana grandiflora,0,1000,1000
Tabernaemontana markgrafiana,0,400,400
Tabernaemontana sananho,1100,2100,1000
Tachia parviflora,400,1200,800
Talisia cerasina,0,1400,1400
Talisia hexaphylla,0,1100,1100
Talisia nervosa,0,600,600
Tapirira guianensis,1700,2000,300
Tapura colombiana,100,700,600
Tapura guianensis,0,900,900
Terminalia amazonia,700,1900,1200
Terminalia oblonga,800,2300,1500
Terminalia tetraphylla,600,1200,600
Ternstroemia macrocarpa,300,1400,1100
Ternstroemia meridionalis,200,2200,2000
Tessaria integrifolia,1100,3200,2100
Tetragastris altissima,200,900,700
Tetragastris panamensis,500,1500,1000
Tetrathylacium macrophyllum,1000,2000,1000
Tetrorchidium andinum,200,1700,1500
Tetrorchidium euryphyllum,0,1100,1100
Tetrorchidium macrophyllum,0,1600,1600
Tetrorchidium rubrivenium,900,2300,1400
Theobroma cacao,200,1500,1300
Theobroma glaucum,200,900,700
Tournefortia cuspidata,100,800,700
Tournefortia fuliginosa,0,2200,2200
Tournefortia scabrida,0,3000,3000
Tovomita carinata,0,300,300
Tovomita choisyana,0,1000,1000
Tovomita spruceana,0,400,400
Tovomita stylosa,0,1300,1300
Tovomita trojitana,0,600,600
Toxicodendron striatum,300,1900,1600
Trattinnickia aspera,0,900,900
Trattinnickia lawrancei,0,800,800
Trema integerrima,0,500,500
Trema micrantha,1900,2800,900
Trichilia cipo,0,0,0
Trichilia elegans,700,2500,1800
Trichilia hirta,0,1700,1700
Trichilia martiana,800,1100,300
Trichilia maynasiana,0,1800,1800
Trichilia micrantha,100,1300,1200
Trichilia moschata,200,200,0
Trichilia pallida,1400,2400,1000
Trichilia pleeana,600,2300,1700
Trichilia poeppigii,100,1400,1300
Trichilia quadrijuga,200,1000,800
Trichilia schomburgkii,0,300,300
Trichilia septentrionalis,800,1800,1000
Trichospermum galeottii,400,1200,800
Triplaris americana,800,2400,1600
Triplaris cumingiana,0,1800,1800
Trophis racemosa,700,1000,300
Ulex europaeus,0,1000,1000
Unonopsis aviceps,900,900,0
Unonopsis guatterioides,0,1400,1400
Unonopsis pacifica,0,400,400
Unonopsis spectabilis,0,800,800
Urera baccifera,1500,2500,1000
Urera caracasana,0,2400,2400
Urera simplex,700,2600,1900
Uribea tamarindoides,100,100,0
Vachellia macracantha,800,2800,2000
Vallea stipularis,500,3700,3200
Varronia cylindrostachya,500,2800,2300
Vasconcellea goudotiana,0,400,400
Vasconcellea microcarpa,1600,2300,700
Vasconcellea pubescens,0,1500,1500
Verbesina arborea,0,1800,1800
Verbesina nudipes,0,2800,2800
Vernonanthura patens,1800,2800,1000
Viburnum anabaptista,1000,1000,0
Viburnum antioquiense,300,300,0
Viburnum ayavacense,0,1600,1600
Viburnum hallii,1000,3100,2100
Viburnum pichinchense,1300,2500,1200
Viburnum tinoides,600,2400,1800
Viburnum toronis,1400,2400,1000
Viburnum triphyllum,0,2700,2700
Viburnum undulatum,1500,1500,0
Virola calophylla,0,1800,1800
Virola dixonii,0,600,600
Virola elongata,0,1400,1400
Virola flexuosa,200,800,600
Virola macrocarpa,1300,1300,0
Virola reidii,0,800,800
Virola sebifera,1100,1600,500
Vismia baccifera,100,3500,3400
Vismia cayennensis,0,1300,1300
Vismia guianensis,1500,2300,800
Vismia laevis,400,400,0
Vismia lauriformis,0,2200,2200
Vismia lindeniana,0,0,0
Vismia macrophylla,200,1800,1600
Vismia sprucei,200,1500,1300
Vismia tomentosa,0,2300,2300
Vitex capitata,400,400,0
Vitex compressa,800,800,0
Vitex triflora,0,1800,1800
Vochysia ferruginea,0,1300,1300
Vochysia lehmannii,0,1100,1100
Vochysia megalantha,0,900,900
Warszewiczia coccinea,600,2100,1500
Warszewiczia uxpanapensis,0,100,100
Weinmannia auriculata,500,2700,2200
Weinmannia cochensis,0,1800,1800
Weinmannia elliptica,1700,2300,600
Weinmannia fagaroides,1000,2500,1500
Weinmannia lechleriana,0,1200,1200
Weinmannia mariquitae,0,2500,2500
Weinmannia microphylla,100,1900,1800
Weinmannia multijuga,0,2700,2700
Weinmannia pinnata,1400,3200,1800
Weinmannia pubescens,1000,2600,1600
Weinmannia reticulata,0,1400,1400
Weinmannia rollottii,0,1200,1200
Weinmannia sorbifolia,1300,2300,1000
Weinmannia tomentosa,1300,1400,100
Wettinia fascicularis,0,700,700
Wettinia hirsuta,1100,1100,0
Wettinia kalbreyeri,1200,1400,200
Wettinia microcarpa,500,500,0
Wettinia oxycarpa,0,400,400
Wettinia praemorsa,1400,3100,1700
Wettinia quinaria,0,3800,3800
Witheringia coccoloboides,0,2300,2300
Wittmackanthus stanleyanus,100,900,800
Xanthosoma sagittifolium,0,1800,1800
Xylopia amazonica,0,300,300
Xylopia aromatica,0,1300,1300
Xylopia discreta,900,900,0
Xylopia frutescens,0,800,800
Xylopia polyantha,0,800,800
Xylopia sericea,0,400,400
Zanthoxylum acuminatum,0,1300,1300
Zanthoxylum fagara,1100,2500,1400
Zanthoxylum formiciferum,0,200,200
Zanthoxylum lenticulare,1100,1100,0
Zanthoxylum melanostictum,0,900,900
Zanthoxylum quinduense,200,2200,2000
Zanthoxylum rhoifolium,800,3500,2700
Zanthoxylum rigidum,0,2300,2300
Zinowiewia australis,0,2300,2300
Zygia latifolia,100,1200,1100
Zygia multipunctata,100,100,0
Bunchosia argentea,0,2000,2000
Bunchosia armeniaca,1600,2200,600
Bunchosia hartwegiana,1000,1000,0
Bunchosia pseudonitida,200,1300,1100
Bursera graveolens,200,1900,1700
Bursera simaruba,0,1200,1200
Byrsonima arthropoda,200,2400,2200
Byrsonima garcibarrigae,0,700,700
Byrsonima nemoralis,800,800,0
Byrsonima spicata,300,2000,1700
Calatola costaricensis,900,2600,1700
Calliandra magdalenae,0,1400,1400
Calliandra purdiei,700,1100,400
Calliandra riparia,600,700,100
Calophyllum brasiliense,300,2100,1800
Calophyllum mariae,900,900,0
Calycolpus moritzianus,0,2600,2600
Cariniana pyriformis,1300,1300,0
Caryocar amygdaliferum,400,400,0
Caryocar glabrum,0,1700,1700
Caryocar pallidum,0,1200,1200
Caryodendron orinocense,700,1500,800
Casearia aculeata,600,1500,900
Casearia arborea,1000,2300,1300
Casearia arguta,1600,1600,0
Casearia cajambrensis,100,800,700
Casearia combaymensis,0,1000,1000
Casearia decandra,0,2100,2100
Casearia grandiflora,900,1100,200
Casearia mariquitensis,800,1700,900
Casearia megacarpa,700,1200,500
Casearia praecox,500,500,0
Casearia quinduensis,200,1000,800
Casearia sylvestris,1100,3000,1900
Casearia ulmifolia,400,1000,600
Casearia zahlbruckneri,0,500,500
Cassia moschata,500,1200,700
Cassipourea guianensis,300,1300,1000
Castilla elastica,200,1500,1300
Castilla tunu,400,1200,800
Cathedra acuminata,0,700,700
Catostemma digitata,200,200,0
Catostemma digitatum,200,200,0
Cavanillesia platanifolia,100,100,0
Cavendishia antioquiensis,500,500,0
Cavendishia bracteata,2300,3000,700
Cavendishia compacta,1300,1300,0
Cavendishia guatapeensis,1600,1600,0
Cavendishia pubescens,0,3300,3300
Cecropia angustifolia,900,1900,1000
Cecropia engleriana,0,2600,2600
Cecropia gabrielis,0,700,700
Cecropia hispidissima,0,900,900
Cecropia insignis,900,900,0
Cecropia membranacea,0,1100,1100
Cecropia obtusifolia,1500,1800,300
Cecropia peltata,1400,1600,200
Cecropia reticulata,700,1300,600
Cecropia telenitida,200,1900,1700
Cedrela fissilis,0,3100,3100
Cedrela lilloi,0,1500,1500
Cedrela montana,0,2600,2600
Cedrela odorata,1100,3400,2300
Ceiba pentandra,0,1800,1800
Ceiba speciosa,0,1400,1400
Celtis iguanaea,1100,2000,900
Centronia laurifolia,0,1500,1500
Ceroxylon quindiuense,0,1200,1200
Ceroxylon vogelianum,0,1900,1900
Cespedesia spathulata,400,1900,1500
Cestrum bigibbosum,800,800,0
Cestrum cuneifolium,200,2100,1900
Cestrum humboldtii,400,1800,1400
Cestrum megalophyllum,200,2400,2200
Cestrum ochraceum,2100,2200,100
Cestrum petiolare,0,2000,2000
Cestrum racemosum,500,2800,2300
Chamaedorea allenii,0,1100,1100
Chamaedorea linearis,1200,2600,1400
Chamaedorea pinnatifrons,1900,3500,1600
Cheiloclinium cognatum,200,2500,2300
Chimarrhis hookeri,0,1400,1400
Chomelia microloba,0,0,0
Chomelia paniculata,0,1600,1600
Chomelia spinosa,500,900,400
Chomelia tenuiflora,300,2000,1700
Chrysochlamys colombiana,500,2600,2100
Chrysochlamys dependens,0,1900,1900
Chrysochlamys eclipes,0,1000,1000
Chrysochlamys macrophylla,0,1700,1700
Chrysochlamys membranacea,0,2200,2200
Chrysochlamys nicaraguensis,1200,1200,0
Chrysochlamys ulei,0,1200,1200
Chrysochlamys weberbaueri,900,2100,1200
Chrysophyllum argenteum,0,1900,1900
Chrysophyllum cainito,0,1400,1400
Chrysophyllum colombianum,0,400,400
Chrysophyllum lucentifolium,0,900,900
Chrysophyllum prieurii,0,1200,1200
Aegiphila monticola,300,900,600
Albizia niopoides,0,1100,1100
Alchornea pearcei,0,1800,1800
Alibertia bertierifolia,0,500,500
Allophylus amazonicus,0,1000,1000
Allophylus dodsonii,0,0,0
Allophylus incanus,2100,2100,0
Allophylus pilosus,0,1500,1500
Chrysophyllum venezuelanense,0,2300,2300
Cinchonopsis amazonica,500,2000,1500
Citharexylum gentryi,0,0,0
Citharexylum montanum,0,400,400
Clavija clavata,0,0,0
Clavija eggersiana,0,1700,1700
Clavija laplanadae,0,400,400
Clethra crispa,0,300,300
Clethra obovata,0,2500,2500
Clusia colombiana,0,1900,1900
Clusia schultesii,0,1500,1500
Cordia lutea,0,2500,2500
Cordia ucayaliensis,0,2400,2400
Coussarea ecuadorensis,0,1300,1300
Critoniopsis occidentalis,0,1000,1000
Critoniopsis tungurahuae,0,0,0
Croton floccosus,600,2000,1400
Croton glabellus,0,500,500
Croton rimbachii,0,1100,1100
Croton sampatik,0,1200,1200
Croton tessmannii,0,2700,2700
Cupania livida,0,1500,1500
Cupania rufescens,0,0,0
Cyathea brunnescens,0,1700,1700
Cyathea crenata,0,800,800
Cyathea frigida,0,600,600
Cyathea frondosa,200,1500,1300
Cyathea planadae,200,1200,1000
Cyathea straminea,0,1000,1000
Dacryodes cupularis,200,600,400
