species,min_elevation,max_elevation,range
Cyathea pungens,1200,1600,400
Cyathea squamipes,600,2700,2100
Cybianthus humilis,0,600,600
Cybianthus iteoides,1700,2500,800
Cybianthus laurifolius,0,2200,2200
Cybianthus marginatus,800,2200,1400
Cybianthus pastensis,600,2400,1800
Cybianthus poeppigii,0,1600,1600
Cybianthus schlimii,0,1300,1300
Cybianthus venezuelanus,1200,2000,800
Cymbopetalum sanchezii,0,0,0
Cynometra bauhiniifolia,0,100,100
Cynophalla flexuosa,200,1300,1100
Dacryodes acuptipyrena,0,0,0
Dacryodes belemensis,0,300,300
Dacryodes peruviana,0,1200,1200
Delostoma integrifolium,600,2200,1600
Dendrobangia boliviana,1100,1500,400
Dendropanax arboreus,1500,2400,900
Dendropanax caucanus,0,1600,1600
Dendropanax macrophyllus,0,800,800
Dialium guianense,300,900,600
Dicksonia karsteniana,0,1300,1300
Dicksonia sellowiana,1200,2700,1500
Dictyocaryum lamarckianum,0,1200,1200
Dieffenbachia seguine,0,1100,1100
Dilodendron costaricense,200,200,0
Dimorphandra macrostachya,0,400,400
Dioicodendron dioicum,0,2300,2300
Diospyros artanthifolia,500,1000,500
Discophora guianensis,900,1300,400
Doliocarpus dentatus,700,1500,800
Drimys granadensis,900,2000,1100
Duguetia antioquensis,1100,1100,0
Duguetia caniflora,0,0,0
Duguetia colombiana,100,100,0
Duguetia gentryi,100,100,0
Dunalia solanacea,1700,2200,500
Duroia hirsuta,400,1300,900
Dussia lehmannii,500,1700,1200
Dussia macroprophyllata,2200,2200,0
Dussia tessmannii,100,2000,1900
Dystovomita paniculata,0,1200,1200
Ecclinusa lanceolata,0,900,900
Ecclinusa ramiflora,0,300,300
Elaeagia karstenii,0,2100,2100
Elaeagia mariae,700,2300,1600
Elaeagia myriantha,100,1200,1100
Elaeagia pastoensis,800,1700,900
Elaeagia utilis,1400,1900,500
Endlicheria gracilis,0,1000,1000
Endlicheria griseo-sericea,100,1900,1800
Endlicheria griseosericea,100,1900,1800
Endlicheria metallica,0,2000,2000
Endlicheria pyriformis,0,1300,1300
Endlicheria sericea,0,2000,2000
Entada gigas,0,1100,1100
Enterolobium cyclocarpum,0,800,800
Enterolobium schomburgkii,300,700,400
Eriotheca globosa,0,900,900
Erythrina berteroana,0,900,900
Erythrina edulis,1500,2500,1000
Erythrina poeppigiana,1200,2100,900
Erythroxylum citrifolium,0,2100,2100
Erythroxylum gracilipes,0,1300,1300
Erythroxylum havanense,100,100,0
Erythroxylum hondense,500,600,100
Erythroxylum macrophyllum,0,2100,2100
Escallonia myrtilloides,1000,2200,1200
Escallonia paniculata,0,2000,2000
Escallonia pendula,100,1400,1300
Eschweilera albiflora,0,1000,1000
Eschweilera antioquensis,0,2100,2100
Eschweilera bogotensis,0,0,0
Eschweilera bracteosa,0,500,500
Eschweilera caudiculata,500,2100,1600
Eschweilera coriacea,600,2000,1400
Eschweilera microcalyx,200,200,0
Eschweilera sessilis,100,1500,1400
Eugenia biflora,500,1600,1100
Eugenia dittocrepis,0,400,400
Eugenia egensis,600,2100,1500
Eugenia feijoi,0,1800,1800
Eugenia florida,500,2800,2300
Eugenia limbosa,0,700,700
Eugenia oerstediana,0,1100,1100
Eugenia rhombea,0,0,0
Eugenia uniflora,100,2100,2000
Euphorbia arenaria,0,1000,1000
Euterpe precatoria,1200,2300,1100
Faramea calyptrata,0,1600,1600
Faramea capillipes,600,1000,400
Faramea cuspidata,0,1600,1600
Faramea fragrans,0,900,900
Faramea jasminoides,600,2000,1400
Faramea multiflora,1400,2200,800
Faramea oblongifolia,0,1900,1900
Faramea occidentalis,500,1800,1300
Faramea quinqueflora,0,2000,2000
Ferdinandusa loretensis,0,900,900
Ficus americana,1600,3800,2200
Ficus apollinaris,400,1100,700
Ficus brevibracteata,600,1500,900
Ficus citrifolia,600,2300,1700
Ficus crassiuscula,0,400,400
Ficus crocata,0,900,900
Ficus cuatrecasana,0,1800,1800
Ficus cuatrecasasiana,300,2100,1800
Ficus donnell-smithii,300,3400,3100
Ficus dulciaria,100,900,800
Ficus eximia,0,1600,1600
Ficus gigantosyce,0,900,900
Ficus guianensis,0,2000,2000
Ficus hartwegii,0,1800,1800
Ficus insipida,800,2200,1400
Ficus krukovii,0,1300,1300
Ficus lacunata,0,0,0
Ficus macbridei,100,1600,1500
Ficus mathewsii,0,700,700
Ficus maxima,0,3400,3400
Ficus mutisii,0,1900,1900
Ficus obtusifolia,800,1900,1100
Ficus pallida,0,3200,3200
Ficus paraensis,600,1600,1000
Ficus pertusa,700,2000,1300
Ficus popenoei,0,100,100
Ficus schippii,0,1700,1700
Ficus tonduzii,100,2100,2000
Ficus trianae,0,800,800
Ficus trigona,0,2800,2800
Ficus velutina,500,1600,1100
Frangula goudotiana,700,2100,1400
Frangula granulosa,100,1500,1400
Frangula sphaerosperma,800,1500,700
Freziera candicans,0,0,0
Freziera chrysophylla,0,800,800
Freziera karsteniana,0,1700,1700
Freziera punctata,0,300,300
Freziera reticulata,0,800,800
Freziera verrucosa,0,2300,2300
Fusaea longifolia,100,400,300
Gaiadendron punctatum,2200,3100,900
Garcinia intermedia,800,1400,600
Garcinia macrophylla,900,1700,800
Garcinia madruno,900,1800,900
Geissanthus ambigua,0,2800,2800
Geissanthus andinus,800,1700,900
Alsophila cuspidata,400,1800,1400
Alsophila engelii,0,1600,1600
Alsophila erinacea,800,2400,1600
Alsophila incana,0,1400,1400
Alzatea verticillata,200,1500,1300
Amaioua guianensis,0,1400,1400
Ampelocera edentula,0,1500,1500
Ampelocera longissima,0,1000,1000
Ampelocera macrocarpa,500,500,0
Amphirrhox longifolia,0,700,700
Amyris ignea,0,0,0
Amyris pinnata,800,1200,400
Amyris sylvatica,0,1100,1100
Anacardium excelsum,1300,1700,400
Anacardium occidentale,200,1200,1000
Anaxagorea brevipes,100,800,700
Andira chigorodensis,0,0,0
Andira inermis,100,1800,1700
Andira surinamensis,0,600,600
Andira taurotesticulata,1300,1400,100
Aniba canelilla,0,600,600
Aniba coto,0,2000,2000
Aniba muca,400,1700,1300
Aniba panurensis,200,1800,1600
Aniba perutilis,400,2800,2400
Aniba puchury-minor,0,3400,3400
Aniba riparia,0,2000,2000
Aniba robusta,1100,1700,600
Annona amazonica,0,700,700
Annona cherimola,400,1800,1400
Geissanthus betancurii,1300,1300,0
Geissanthus bogotensis,1600,2200,600
Geissanthus fragrans,0,0,0
Geissanthus longistamineus,100,2300,2200
Geissanthus occidentalis,1200,1500,300
Genipa americana,500,1600,1100
Geonoma deversa,600,1600,1000
Geonoma orbignyana,1500,2300,800
Geonoma undata,1300,2500,1200
Gloeospermum longifolium,500,2100,1600
Gloeospermum sphaerocarpum,900,1500,600
Glossoloma tetragonoides,300,2400,2100
Godmania aesculifolia,0,1000,1000
Gonzalagunia cornifolia,0,2200,2200
Gonzalagunia dicocca,0,1400,1400
Gordonia fruticosa,1400,3000,1600
Gordonia robusta,0,0,0
Goupia glabra,0,700,700
Graffenrieda cucullata,800,2100,1300
Graffenrieda emarginata,0,2300,2300
Graffenrieda galeottii,0,1700,1700
Graffenrieda gracilis,800,1700,900
Graffenrieda intermedia,200,1300,1100
Graffenrieda latifolia,500,500,0
Graffenrieda micrantha,0,0,0
Graffenrieda santamartensis,600,600,0
Grias haughtii,0,500,500
Guapira costaricana,700,1200,500
Guapira pubescens,0,0,0
Guarea cartaguenya,100,1600,1500
Guarea glabra,1000,1900,900
Guarea grandifolia,500,2100,1600
Guarea guidonia,1200,1800,600
Guarea kunthiana,2100,3000,900
Guarea macrophylla,900,2400,1500
Guarea pterorhachis,100,1500,1400
Guarea purusana,0,1600,1600
Guarea pyriformis,0,100,100
Guarea silvatica,0,1400,1400
Guatteria amplifolia,600,600,0
Guatteria asplundiana,400,1400,1000
Guatteria blepharophylla,700,1900,1200
Guatteria cargadero,0,1900,1900
Guatteria cestrifolia,200,1000,800
Guatteria columbiana,1600,1600,0
Guatteria goudotiana,0,2200,2200
Guatteria hirsuta,1600,1900,300
Guatteria laurina,900,900,0
Guatteria megalophylla,600,2000,1400
Guatteria pittieri,0,1000,1000
Guatteria punctata,1300,2200,900
Guatteria recurvisepala,1300,1400,100
Guatteria schomburgkiana,0,700,700
Guazuma ulmifolia,1200,3400,2200
Guettarda aromatica,0,1800,1800
Guettarda crispiflora,1100,2800,1700
Guettarda dependens,600,2700,2100
Guettarda malacophylla,400,400,0
Guettarda roupalifolia,0,0,0
Guettarda tournefortiopsis,0,1800,1800
Gustavia dubia,400,400,0
Gustavia hexapetala,100,900,800
Gustavia nana,500,500,0
Gustavia poeppigiana,0,900,900
Gustavia romeroi,700,700,0
Gustavia speciosa,0,1300,1300
Gustavia superba,1500,1700,200
Gyrocarpus americanus,1100,1100,0
Handroanthus chrysanthus,0,2000,2000
Handroanthus impetiginosus,0,1600,1600
Handroanthus ochraceus,0,1300,1300
Handroanthus serratifolius,0,1100,1100
Hasseltia floribunda,1600,2300,700
Hasseltia lateriflora,0,0,0
Hebeclinium phoenicticum,600,600,0
Hebepetalum humiriifolium,0,800,800
Hedyosmum angustifolium,0,2700,2700
Hedyosmum bonplandianum,2100,2200,100
Hedyosmum crenatum,200,1400,1200
Hedyosmum cuatrecazanum,700,2800,2100
Hedyosmum cumbalense,1000,2100,1100
Hedyosmum gentryi,0,700,700
Hedyosmum goudotianum,800,2200,1400
Hedyosmum maximum,0,1800,1800
Hedyosmum parvifolium,400,700,300
Hedyosmum racemosum,2100,3000,900
Hedyosmum scaberrimum,0,1500,1500
Hedyosmum sprucei,0,2700,2700
Hedyosmum translucidum,300,1600,1300
Heisteria acuminata,900,2100,1200
Heisteria latifolia,0,800,800
Heliconia nigripraefixa,100,500,400
Helicostylis scabra,0,900,900
Helicostylis tomentosa,600,1900,1300
Helicostylis tovarensis,800,1700,900
Helicteres baruensis,1000,1200,200
Heliocarpus americanus,400,2800,2400
Henriettea fissanthera,500,500,0
Henriettea trachyphylla,1200,1300,100
Henriettea verrucosa,0,1100,1100
Herrania balaensis,0,600,600
Herrania laciniifolia,0,0,0
Herrania purpurea,200,200,0
Hesperomeles ferruginea,1300,2500,1200
Hesperomeles goudotiana,700,1400,700
Hesperomeles obtusifolia,1500,2300,800
Hieronyma alchorneoides,1500,2400,900
Hieronyma antioquensis,700,700,0
Hieronyma duquei,300,2200,1900
Hieronyma fendleri,500,2200,1700
Hieronyma huilensis,1100,1500,400
Hieronyma macrocarpa,0,2200,2200
Hieronyma oblonga,1900,2800,900
Hieronyma rufa,0,400,400
Hieronyma scabrida,500,1300,800
Hillia parasitica,500,2400,1900
Himatanthus articulatus,500,1200,700
Hippotis albiflora,0,1600,1600
Hippotis brevipes,0,2100,2100
Hirtella bicornis,0,900,900
Hirtella mutisii,400,900,500
Hirtella pilosissima,0,900,900
Hirtella racemosa,400,1300,900
Hirtella triandra,100,2500,2400
Hirtella tubiflora,0,100,100
Hoffmannia longipetiolata,0,1900,1900
Hortia brasiliana,0,500,500
Huberodendron patinoi,200,1000,800
Huertea granadina,100,100,0
Humiriastrum colombianum,0,400,400
Hura crepitans,0,1800,1800
Hymenaea courbaril,600,1700,1100
Hymenaea oblongifolia,300,700,400
Hymenopus heteromorphus,0,1400,1400
Hyospathe elegans,400,2100,1700
Hyptidendron arboreum,0,1600,1600
