species,genus,region,range,genus_in_region
Acalypha cuneata,Acalypha,a.10.5,1100,3
Acalypha cuneata,Acalypha,b.5.0,1500,4
Acalypha cuneata,Acalypha,c.0.-5,3100,4
Acalypha cuneata,Acalypha,d.-5.-10,1700,4
Acalypha cuneata,Acalypha,e.-10.-15,1100,4
Acalypha cuneata,Acalypha,f.-15.-20,400,4
Acalypha diversifolia,Acalypha,a.10.5,3100,3
Acalypha diversifolia,Acalypha,b.5.0,2900,4
Acalypha diversifolia,Acalypha,c.0.-5,3700,4
Acalypha diversifolia,Acalypha,d.-5.-10,1800,4
Acalypha diversifolia,Acalypha,e.-10.-15,1700,4
Acalypha diversifolia,Acalypha,f.-15.-20,1700,4
Acalypha diversifolia,Acalypha,g.-20.-25,800,2
Acalypha macrostachya,Acalypha,a.10.5,3200,3
Acalypha macrostachya,Acalypha,b.5.0,2600,4
Acalypha macrostachya,Acalypha,c.0.-5,1900,4
Acalypha macrostachya,Acalypha,d.-5.-10,1500,4
Acalypha macrostachya,Acalypha,e.-10.-15,2100,4
Acalypha macrostachya,Acalypha,f.-15.-20,2400,4
Acalypha stricta,Acalypha,b.5.0,500,4
Acalypha stricta,Acalypha,c.0.-5,900,4
Acalypha stricta,Acalypha,d.-5.-10,1700,4
Acalypha stricta,Acalypha,e.-10.-15,1800,4
Acalypha stricta,Acalypha,f.-15.-20,2200,4
Acalypha stricta,Acalypha,g.-20.-25,300,2
Aegiphila integrifolia,Aegiphila,a.10.5,2200,1
Aegiphila integrifolia,Aegiphila,b.5.0,2000,1
Aegiphila integrifolia,Aegiphila,c.0.-5,1500,1
Aegiphila integrifolia,Aegiphila,d.-5.-10,3000,1
Aegiphila integrifolia,Aegiphila,e.-10.-15,1800,1
Aegiphila integrifolia,Aegiphila,f.-15.-20,2000,1
Aiphanes horrida,Aiphanes,a.10.5,2400,1
Aiphanes horrida,Aiphanes,b.5.0,1300,1
Aiphanes horrida,Aiphanes,d.-5.-10,100,1
Aiphanes horrida,Aiphanes,e.-10.-15,1600,1
Aiphanes horrida,Aiphanes,f.-15.-20,1000,1
Albizia niopoides,Albizia,a.10.5,1400,2
Albizia niopoides,Albizia,b.5.0,600,2
Albizia niopoides,Albizia,c.0.-5,900,1
Albizia niopoides,Albizia,d.-5.-10,1000,1
Albizia niopoides,Albizia,e.-10.-15,1300,1
Albizia niopoides,Albizia,f.-15.-20,500,2
Albizia subdimidiata,Albizia,a.10.5,700,2
Albizia subdimidiata,Albizia,b.5.0,500,2
Albizia subdimidiata,Albizia,f.-15.-20,100,2
Alchornea glandulosa,Alchornea,a.10.5,2600,6
Alchornea glandulosa,Alchornea,b.5.0,3600,6
Alchornea glandulosa,Alchornea,c.0.-5,2500,6
Alchornea glandulosa,Alchornea,d.-5.-10,2200,6
Alchornea glandulosa,Alchornea,e.-10.-15,3000,6
Alchornea glandulosa,Alchornea,f.-15.-20,2200,5
Alchornea grandiflora,Alchornea,a.10.5,2500,6
Alchornea grandiflora,Alchornea,b.5.0,2700,6
Alchornea grandiflora,Alchornea,c.0.-5,2100,6
Alchornea grandiflora,Alchornea,d.-5.-10,1800,6
Alchornea grandiflora,Alchornea,e.-10.-15,2200,6
Alchornea grandiflora,Alchornea,f.-15.-20,600,5
Alchornea grandis,Alchornea,a.10.5,1900,6
Alchornea grandis,Alchornea,b.5.0,1800,6
Alchornea grandis,Alchornea,c.0.-5,1800,6
