species,genus,region,range,genus_in_region
Acalypha diversifolia,Acalypha,a.10.5,3100,1
Acalypha diversifolia,Acalypha,b.5.0,2900,2
Acalypha diversifolia,Acalypha,c.0.-5,3700,2
Acalypha diversifolia,Acalypha,d.-5.-10,1800,2
Acalypha diversifolia,Acalypha,e.-10.-15,1700,2
Acalypha diversifolia,Acalypha,f.-15.-20,1700,2
Acalypha diversifolia,Acalypha,g.-20.-25,800,2
Acalypha stricta,Acalypha,b.5.0,500,2
Acalypha stricta,Acalypha,c.0.-5,900,2
Acalypha stricta,Acalypha,d.-5.-10,1700,2
Acalypha stricta,Acalypha,e.-10.-15,1800,2
Acalypha stricta,Acalypha,f.-15.-20,2200,2
Acalypha stricta,Acalypha,g.-20.-25,300,2
Albizia niopoides,Albizia,a.10.5,1400,1
Albizia niopoides,Albizia,b.5.0,600,1
Albizia niopoides,Albizia,c.0.-5,900,1
Albizia niopoides,Albizia,d.-5.-10,1000,1
Albizia niopoides,Albizia,e.-10.-15,1300,1
Albizia niopoides,Albizia,f.-15.-20,500,1
Alnus acuminata,Alnus,a.10.5,2000,1
Alnus acuminata,Alnus,b.5.0,3200,1
Alnus acuminata,Alnus,c.0.-5,2400,1
Alnus acuminata,Alnus,d.-5.-10,3400,1
Alnus acuminata,Alnus,e.-10.-15,2000,1
Alnus acuminata,Alnus,f.-15.-20,3400,1
Alnus acuminata,Alnus,g.-20.-25,1600,1
Citrus X aurantium,Citrus,a.10.5,2400,1
Citrus X aurantium,Citrus,b.5.0,3000,1
Citrus X aurantium,Citrus,c.0.-5,2700,1
Citrus X aurantium,Citrus,d.-5.-10,1100,1
Citrus X aurantium,Citrus,e.-10.-15,100,1
Citrus X aurantium,Citrus,g.-20.-25,500,1
Clethra scabra,Clethra,e.-10.-15,2600,1
Clethra scabra,Clethra,f.-15.-20,2800,1
Clethra scabra,Clethra,g.-20.-25,2000,1
Coccoloba coronata,Coccoloba,a.10.5,1300,1
Coccoloba coronata,Coccoloba,b.5.0,100,1
Coccoloba coronata,Coccoloba,c.0.-5,300,1
Coccoloba coronata,Coccoloba,d.-5.-10,200,1
Cordia alliodora,Cordia,a.10.5,2000,1
Cordia alliodora,Cordia,b.5.0,3300,1
Cordia alliodora,Cordia,c.0.-5,2100,1
Cordia alliodora,Cordia,d.-5.-10,2600,1
Cordia alliodora,Cordia,e.-10.-15,1800,1
Cordia alliodora,Cordia,f.-15.-20,1400,1
Cordia alliodora,Cordia,g.-20.-25,1300,1
Coutarea hexandra,Coutarea,a.10.5,3300,1
Coutarea hexandra,Coutarea,b.5.0,800,1
Coutarea hexandra,Coutarea,c.0.-5,1400,1
Coutarea hexandra,Coutarea,d.-5.-10,600,1
Coutarea hexandra,Coutarea,e.-10.-15,1100,1
Coutarea hexandra,Coutarea,f.-15.-20,1300,1
Coutarea hexandra,Coutarea,g.-20.-25,1700,1
Croton lechleri,Croton,b.5.0,1800,1
Croton lechleri,Croton,c.0.-5,2200,1
Croton lechleri,Croton,d.-5.-10,1700,1
Croton lechleri,Croton,e.-10.-15,2200,1
Croton lechleri,Croton,f.-15.-20,1500,1
Croton lechleri,Croton,g.-20.-25,200,1
Cynophalla flexuosa,Cynophalla,a.10.5,2100,1
Cynophalla flexuosa,Cynophalla,b.5.0,1300,1
Cynophalla flexuosa,Cynophalla,c.0.-5,900,1
Cynophalla flexuosa,Cynophalla,d.-5.-10,800,1
Cynophalla flexuosa,Cynophalla,e.-10.-15,200,1
Cynophalla flexuosa,Cynophalla,f.-15.-20,1700,1
Cynophalla flexuosa,Cynophalla,g.-20.-25,500,1
Erythroxylum citrifolium,Erythroxylum,a.10.5,2300,2
Erythroxylum citrifolium,Erythroxylum,b.5.0,2200,2
Erythroxylum citrifolium,Erythroxylum,c.0.-5,2100,2
Erythroxylum citrifolium,Erythroxylum,d.-5.-10,900,2
Erythroxylum citrifolium,Erythroxylum,e.-10.-15,1400,2
Erythroxylum citrifolium,Erythroxylum,f.-15.-20,1200,2
Erythroxylum macrophyllum,Erythroxylum,a.10.5,2200,2
Erythroxylum macrophyllum,Erythroxylum,b.5.0,1700,2
Erythroxylum macrophyllum,Erythroxylum,c.0.-5,2100,2
Erythroxylum macrophyllum,Erythroxylum,d.-5.-10,1300,2
Erythroxylum macrophyllum,Erythroxylum,e.-10.-15,1800,2
Erythroxylum macrophyllum,Erythroxylum,f.-15.-20,1700,2
Escallonia paniculata,Escallonia,a.10.5,3200,1
Escallonia paniculata,Escallonia,b.5.0,2300,1
Escallonia paniculata,Escallonia,c.0.-5,1900,1
Escallonia paniculata,Escallonia,d.-5.-10,1500,1
Escallonia paniculata,Escallonia,e.-10.-15,1600,1
Escallonia paniculata,Escallonia,f.-15.-20,2000,1
Eugenia florida,Eugenia,a.10.5,2100,1
Eugenia florida,Eugenia,b.5.0,3100,1
Eugenia florida,Eugenia,c.0.-5,2300,1
Eugenia florida,Eugenia,d.-5.-10,1900,1
Eugenia florida,Eugenia,e.-10.-15,2100,1
Eugenia florida,Eugenia,f.-15.-20,1900,1
Eugenia florida,Eugenia,g.-20.-25,500,1
