species,genus,region,range,genus_in_region
Acalypha cuneata,Acalypha,a.10.5,1100,3
Acalypha cuneata,Acalypha,b.5.0,1300,3
Acalypha cuneata,Acalypha,c.0.-5,1500,3
Acalypha cuneata,Acalypha,d.-5.-10,1700,3
Acalypha cuneata,Acalypha,e.-10.-15,1100,3
Acalypha cuneata,Acalypha,f.-15.-20,400,3
Acalypha diversifolia,Acalypha,a.10.5,2100,3
Acalypha diversifolia,Acalypha,b.5.0,2700,3
Acalypha diversifolia,Acalypha,c.0.-5,3700,3
Acalypha diversifolia,Acalypha,d.-5.-10,1800,3
Acalypha diversifolia,Acalypha,e.-10.-15,1700,3
Acalypha diversifolia,Acalypha,f.-15.-20,1700,3
Acalypha macrostachya,Acalypha,a.10.5,2300,3
Acalypha macrostachya,Acalypha,b.5.0,2400,3
Acalypha macrostachya,Acalypha,c.0.-5,1300,3
Acalypha macrostachya,Acalypha,d.-5.-10,1500,3
Acalypha macrostachya,Acalypha,e.-10.-15,2100,3
Acalypha macrostachya,Acalypha,f.-15.-20,2400,3
Aegiphila integrifolia,Aegiphila,a.10.5,1800,1
Aegiphila integrifolia,Aegiphila,b.5.0,1700,1
Aegiphila integrifolia,Aegiphila,c.0.-5,1500,1
Aegiphila integrifolia,Aegiphila,d.-5.-10,3000,1
Aegiphila integrifolia,Aegiphila,e.-10.-15,1800,1
Aegiphila integrifolia,Aegiphila,f.-15.-20,2000,1
Aiphanes horrida,Aiphanes,a.10.5,1500,1
Aiphanes horrida,Aiphanes,b.5.0,1100,1
Aiphanes horrida,Aiphanes,d.-5.-10,100,1
Aiphanes horrida,Aiphanes,e.-10.-15,1600,1
Aiphanes horrida,Aiphanes,f.-15.-20,800,1
Alchornea glandulosa,Alchornea,a.10.5,2300,5
Alchornea glandulosa,Alchornea,b.5.0,2200,5
Alchornea glandulosa,Alchornea,c.0.-5,2500,5
Alchornea glandulosa,Alchornea,d.-5.-10,2200,5
Alchornea glandulosa,Alchornea,e.-10.-15,3000,5
Alchornea glandulosa,Alchornea,f.-15.-20,2200,4
Alchornea grandiflora,Alchornea,a.10.5,1700,5
Alchornea grandiflora,Alchornea,b.5.0,1700,5
Alchornea grandiflora,Alchornea,c.0.-5,1200,5
Alchornea grandiflora,Alchornea,d.-5.-10,1800,5
Alchornea grandiflora,Alchornea,e.-10.-15,2200,5
Alchornea grandiflora,Alchornea,f.-15.-20,600,4
Alchornea grandis,Alchornea,a.10.5,700,5
Alchornea grandis,Alchornea,b.5.0,1400,5
Alchornea grandis,Alchornea,c.0.-5,1300,5
Alchornea grandis,Alchornea,d.-5.-10,300,5
Alchornea grandis,Alchornea,e.-10.-15,900,5
Alchornea latifolia,Alchornea,a.10.5,2100,5
Alchornea latifolia,Alchornea,b.5.0,2300,5
Alchornea latifolia,Alchornea,c.0.-5,1900,5
Alchornea latifolia,Alchornea,d.-5.-10,800,5
Alchornea latifolia,Alchornea,e.-10.-15,1200,5
Alchornea latifolia,Alchornea,f.-15.-20,1700,4
Alchornea triplinervia,Alchornea,a.10.5,2100,5
Alchornea triplinervia,Alchornea,b.5.0,3800,5
Alchornea triplinervia,Alchornea,c.0.-5,2000,5
Alchornea triplinervia,Alchornea,d.-5.-10,1900,5
Alchornea triplinervia,Alchornea,e.-10.-15,2300,5
Alchornea triplinervia,Alchornea,f.-15.-20,2100,4
Allophylus floribundus,Allophylus,b.5.0,2100,1
Allophylus floribundus,Allophylus,c.0.-5,1900,2
Allophylus floribundus,Allophylus,d.-5.-10,2400,2
Allophylus floribundus,Allophylus,e.-10.-15,2000,2
Allophylus floribundus,Allophylus,f.-15.-20,1800,2
Allophylus punctatus,Allophylus,c.0.-5,1800,2
Allophylus punctatus,Allophylus,d.-5.-10,2100,2
Allophylus punctatus,Allophylus,e.-10.-15,1800,2
Allophylus punctatus,Allophylus,f.-15.-20,1900,2
Alnus acuminata,Alnus,a.10.5,2000,1
Alnus acuminata,Alnus,b.5.0,2800,1
Alnus acuminata,Alnus,c.0.-5,2400,1
Alnus acuminata,Alnus,d.-5.-10,3400,1
Alnus acuminata,Alnus,e.-10.-15,2000,1
Alnus acuminata,Alnus,f.-15.-20,3000,1
Cinchona officinalis,Cinchona,a.10.5,1400,2
Cinchona officinalis,Cinchona,b.5.0,300,2
Cinchona officinalis,Cinchona,c.0.-5,1600,2
Cinchona officinalis,Cinchona,e.-10.-15,1500,2
Cinchona officinalis,Cinchona,f.-15.-20,1100,2
Cinchona pubescens,Cinchona,a.10.5,2500,2
Cinchona pubescens,Cinchona,b.5.0,1800,2
Cinchona pubescens,Cinchona,c.0.-5,2000,2
Cinchona pubescens,Cinchona,d.-5.-10,2200,1
Cinchona pubescens,Cinchona,e.-10.-15,2600,2
Cinchona pubescens,Cinchona,f.-15.-20,2700,2
Cissus trianae,Cissus,a.10.5,1500,1
Cissus trianae,Cissus,b.5.0,600,1
Cissus trianae,Cissus,c.0.-5,800,1
Cissus trianae,Cissus,d.-5.-10,1600,1
Cissus trianae,Cissus,e.-10.-15,1500,1
Cissus trianae,Cissus,f.-15.-20,1000,1
Citronella incarum,Citronella,a.10.5,1000,1
Citronella incarum,Citronella,b.5.0,2300,1
Citronella incarum,Citronella,c.0.-5,2500,1
Citronella incarum,Citronella,d.-5.-10,2700,1
Citronella incarum,Citronella,e.-10.-15,2900,1
Citronella incarum,Citronella,f.-15.-20,400,1
Citrus X aurantium,Citrus,a.10.5,600,1
Citrus X aurantium,Citrus,b.5.0,1500,1
Citrus X aurantium,Citrus,c.0.-5,2000,1
Citrus X aurantium,Citrus,d.-5.-10,1100,1
Citrus X aurantium,Citrus,e.-10.-15,100,1
Clarisia biflora,Clarisia,a.10.5,1000,2
Clarisia biflora,Clarisia,b.5.0,1700,2
Clarisia biflora,Clarisia,c.0.-5,1600,2
Clarisia biflora,Clarisia,d.-5.-10,2000,2
Clarisia biflora,Clarisia,e.-10.-15,2800,2
Clarisia biflora,Clarisia,f.-15.-20,1300,2
Clarisia racemosa,Clarisia,a.10.5,900,2
Clarisia racemosa,Clarisia,b.5.0,1100,2
Clarisia racemosa,Clarisia,c.0.-5,1200,2
Clarisia racemosa,Clarisia,d.-5.-10,800,2
Clarisia racemosa,Clarisia,e.-10.-15,1200,2
Clarisia racemosa,Clarisia,f.-15.-20,1100,2
Clethra fimbriata,Clethra,a.10.5,1800,2
Clethra fimbriata,Clethra,b.5.0,1100,2
Clethra fimbriata,Clethra,c.0.-5,2500,2
Clethra fimbriata,Clethra,d.-5.-10,1300,2
Clethra fimbriata,Clethra,f.-15.-20,600,2
Clethra revoluta,Clethra,a.10.5,2900,2
Clethra revoluta,Clethra,b.5.0,1200,2
Clethra revoluta,Clethra,c.0.-5,1600,2
Clethra revoluta,Clethra,d.-5.-10,1500,2
Clethra revoluta,Clethra,e.-10.-15,2500,1
Clethra revoluta,Clethra,f.-15.-20,1200,2
Clitoria arborea,Clitoria,c.0.-5,800,1
Clitoria arborea,Clitoria,d.-5.-10,2000,1
Clitoria arborea,Clitoria,e.-10.-15,600,1
Clitoria arborea,Clitoria,f.-15.-20,100,1
