species,genus,region,range,genus_in_region
Alnus acuminata,Alnus,b.5.0,2800,1
Alnus acuminata,Alnus,c.0.-5,2400,1
Alnus acuminata,Alnus,d.-5.-10,3400,1
Alnus acuminata,Alnus,e.-10.-15,2000,1
Alnus acuminata,Alnus,f.-15.-20,3000,1
Ciliosemina pedunculata,Ciliosemina,a.10.5,1200,1
Ciliosemina pedunculata,Ciliosemina,b.5.0,1000,1
Ciliosemina pedunculata,Ciliosemina,c.0.-5,500,1
Ciliosemina pedunculata,Ciliosemina,d.-5.-10,1000,1
Cinchona macrocalyx,Cinchona,c.0.-5,1100,3
Cinchona macrocalyx,Cinchona,d.-5.-10,600,2
Cinchona macrocalyx,Cinchona,e.-10.-15,900,3
Cinchona officinalis,Cinchona,a.10.5,1400,2
Cinchona officinalis,Cinchona,b.5.0,300,2
Cinchona officinalis,Cinchona,c.0.-5,1600,3
Cinchona officinalis,Cinchona,e.-10.-15,1500,3
Cinchona officinalis,Cinchona,f.-15.-20,1100,2
Cinchona pubescens,Cinchona,a.10.5,2500,2
Cinchona pubescens,Cinchona,b.5.0,1800,2
Cinchona pubescens,Cinchona,c.0.-5,2000,3
Cinchona pubescens,Cinchona,d.-5.-10,2200,2
Cinchona pubescens,Cinchona,e.-10.-15,2600,3
Cinchona pubescens,Cinchona,f.-15.-20,2700,2
Cissus trianae,Cissus,a.10.5,1500,1
Cissus trianae,Cissus,b.5.0,600,1
Cissus trianae,Cissus,c.0.-5,800,1
Cissus trianae,Cissus,d.-5.-10,1600,1
Cissus trianae,Cissus,e.-10.-15,1500,1
Cissus trianae,Cissus,f.-15.-20,1000,1
Citronella incarum,Citronella,a.10.5,1000,1
Citronella incarum,Citronella,b.5.0,2300,1
Citronella incarum,Citronella,c.0.-5,2500,1
Citronella incarum,Citronella,d.-5.-10,2700,1
Citronella incarum,Citronella,e.-10.-15,2900,1
Citronella incarum,Citronella,f.-15.-20,400,1
Citrus X aurantium,Citrus,a.10.5,600,2
Citrus X aurantium,Citrus,b.5.0,1500,2
Citrus X aurantium,Citrus,c.0.-5,2000,1
Citrus X aurantium,Citrus,d.-5.-10,1100,2
Citrus X aurantium,Citrus,e.-10.-15,100,1
Citrus limon,Citrus,a.10.5,1200,2
Citrus limon,Citrus,b.5.0,1500,2
Citrus limon,Citrus,d.-5.-10,1100,2
Clarisia biflora,Clarisia,a.10.5,1000,2
Clarisia biflora,Clarisia,b.5.0,1700,2
Clarisia biflora,Clarisia,c.0.-5,1600,2
Clarisia biflora,Clarisia,d.-5.-10,2000,2
Clarisia biflora,Clarisia,e.-10.-15,2800,2
Clarisia biflora,Clarisia,f.-15.-20,1300,2
Clarisia racemosa,Clarisia,a.10.5,900,2
Clarisia racemosa,Clarisia,b.5.0,1100,2
Clarisia racemosa,Clarisia,c.0.-5,1200,2
Clarisia racemosa,Clarisia,d.-5.-10,800,2
Clarisia racemosa,Clarisia,e.-10.-15,1200,2
Clarisia racemosa,Clarisia,f.-15.-20,1100,2
Clethra fagifolia,Clethra,a.10.5,2700,4
Clethra fagifolia,Clethra,b.5.0,2500,4
Clethra fagifolia,Clethra,c.0.-5,1400,7
Clethra fimbriata,Clethra,a.10.5,1800,4
Clethra fimbriata,Clethra,b.5.0,1100,4
Clethra fimbriata,Clethra,c.0.-5,2500,7
Clethra fimbriata,Clethra,d.-5.-10,1300,7
Clethra fimbriata,Clethra,f.-15.-20,600,7
Clethra ovalifolia,Clethra,a.10.5,400,4
Clethra ovalifolia,Clethra,b.5.0,900,4
Clethra ovalifolia,Clethra,c.0.-5,1800,7
Clethra ovalifolia,Clethra,d.-5.-10,1300,7
Clethra revoluta,Clethra,a.10.5,2900,4
Clethra revoluta,Clethra,b.5.0,1200,4
Clethra revoluta,Clethra,c.0.-5,1600,7
Clethra revoluta,Clethra,d.-5.-10,1500,7
Clethra revoluta,Clethra,e.-10.-15,2500,7
Clethra revoluta,Clethra,f.-15.-20,1200,7
Clitoria arborea,Clitoria,c.0.-5,800,1
Clitoria arborea,Clitoria,d.-5.-10,2000,1
Clitoria arborea,Clitoria,e.-10.-15,600,1
Clitoria arborea,Clitoria,f.-15.-20,100,1
Clusia alata,Clusia,a.10.5,3000,18
Clusia alata,Clusia,b.5.0,1700,18
Clusia alata,Clusia,c.0.-5,1600,18
Clusia alata,Clusia,d.-5.-10,200,15
Clusia alata,Clusia,e.-10.-15,900,13
Clusia crenata,Clusia,a.10.5,1000,18
Clusia crenata,Clusia,b.5.0,700,18
Clusia crenata,Clusia,c.0.-5,600,18
Clusia decussata,Clusia,a.10.5,2200,18
Clusia decussata,Clusia,b.5.0,1700,18
Clusia decussata,Clusia,c.0.-5,900,18
Clusia ducu,Clusia,a.10.5,600,18
Clusia ducu,Clusia,b.5.0,1900,18
Clusia ducu,Clusia,c.0.-5,1300,18
Clusia ducu,Clusia,d.-5.-10,700,15
Clusia ducu,Clusia,e.-10.-15,800,13
Clusia ducu,Clusia,f.-15.-20,1000,9
Clusia ducuoides,Clusia,a.10.5,1500,18
Clusia ducuoides,Clusia,b.5.0,2000,18
Clusia ducuoides,Clusia,c.0.-5,2300,18
Clusia ducuoides,Clusia,d.-5.-10,1300,15
Clusia ducuoides,Clusia,e.-10.-15,1000,13
Clusia elliptica,Clusia,a.10.5,2300,18
Clusia elliptica,Clusia,b.5.0,400,18
Clusia elliptica,Clusia,c.0.-5,1300,18
Clusia elliptica,Clusia,d.-5.-10,1500,15
Clusia elliptica,Clusia,e.-10.-15,1500,13
Clusia elliptica,Clusia,f.-15.-20,1300,9
Clusia flavida,Clusia,a.10.5,1900,18
Clusia flavida,Clusia,b.5.0,700,18
Clusia flavida,Clusia,c.0.-5,2000,18
Clusia flavida,Clusia,d.-5.-10,1500,15
Clusia flavida,Clusia,e.-10.-15,1200,13
Clusia flavida,Clusia,f.-15.-20,300,9
Clusia hammeliana,Clusia,a.10.5,1200,18
Clusia hammeliana,Clusia,b.5.0,1300,18
Clusia hammeliana,Clusia,c.0.-5,1200,18
Clusia hammeliana,Clusia,d.-5.-10,500,15
Clusia hammeliana,Clusia,e.-10.-15,1400,13
Clusia hammeliana,Clusia,f.-15.-20,400,9
Clusia haughtii,Clusia,a.10.5,1200,18
Clusia haughtii,Clusia,b.5.0,1500,18
Clusia haughtii,Clusia,c.0.-5,600,18
Clusia haughtii,Clusia,d.-5.-10,300,15
Clusia haughtii,Clusia,e.-10.-15,600,13
Clusia haughtii,Clusia,f.-15.-20,1100,9
Clusia lineata,Clusia,a.10.5,2100,18
Clusia lineata,Clusia,b.5.0,2100,18
Clusia lineata,Clusia,c.0.-5,1900,18
Clusia lineata,Clusia,d.-5.-10,700,15
Clusia minor,Clusia,a.10.5,1900,18
Clusia minor,Clusia,b.5.0,1900,18
Clusia minor,Clusia,c.0.-5,1300,18
Clusia minor,Clusia,d.-5.-10,2000,15
Clusia minor,Clusia,e.-10.-15,900,13
Clusia multiflora,Clusia,a.10.5,2400,18
Clusia multiflora,Clusia,b.5.0,2800,18
Clusia multiflora,Clusia,c.0.-5,2400,18
Clusia multiflora,Clusia,d.-5.-10,800,15
Clusia multiflora,Clusia,e.-10.-15,2600,13
Clusia multiflora,Clusia,f.-15.-20,1600,9
Clusia octandra,Clusia,a.10.5,400,18
Clusia octandra,Clusia,b.5.0,1300,18
Clusia octandra,Clusia,c.0.-5,1500,18
Clusia octandra,Clusia,d.-5.-10,700,15
Clusia palmicida,Clusia,a.10.5,1300,18
Clusia palmicida,Clusia,b.5.0,900,18
Clusia penduliflora,Clusia,a.10.5,500,18
Clusia penduliflora,Clusia,c.0.-5,1500,18
Clusia penduliflora,Clusia,f.-15.-20,1000,9
Clusia schomburgkiana,Clusia,a.10.5,2100,18
Clusia schomburgkiana,Clusia,b.5.0,2600,18
Clusia schomburgkiana,Clusia,d.-5.-10,200,15
Clusia sphaerocarpa,Clusia,b.5.0,1700,18
Clusia sphaerocarpa,Clusia,c.0.-5,2400,18
Clusia sphaerocarpa,Clusia,d.-5.-10,1400,15
Clusia sphaerocarpa,Clusia,e.-10.-15,1500,13
Clusia sphaerocarpa,Clusia,f.-15.-20,2400,9
Clusia thurifera,Clusia,a.10.5,1500,18
Clusia thurifera,Clusia,c.0.-5,1000,18
Clusia thurifera,Clusia,d.-5.-10,200,15
Clusia thurifera,Clusia,e.-10.-15,700,13
Clusia trochiformis,Clusia,a.10.5,1600,18
Clusia trochiformis,Clusia,b.5.0,400,18
Clusia trochiformis,Clusia,c.0.-5,1000,18
Clusia trochiformis,Clusia,d.-5.-10,1200,15
Clusia trochiformis,Clusia,e.-10.-15,2900,13
Clusia trochiformis,Clusia,f.-15.-20,1600,9
Coccoloba acuminata,Coccoloba,a.10.5,500,5
Coccoloba acuminata,Coccoloba,b.5.0,400,4
Coccoloba acuminata,Coccoloba,d.-5.-10,100,5
Coccoloba acuminata,Coccoloba,e.-10.-15,400,4
Coccoloba coronata,Coccoloba,a.10.5,1200,5
