region,elevation,q1,q2
e.-10.-15,700-799,222,134
e.-10.-15,800-899,229,125
e.-10.-15,900-999,227,105
e.-10.-15,1000-1099,194,107
e.-10.-15,1100-1199,204,87
e.-10.-15,1200-1299,184,97
e.-10.-15,1300-1399,166,66
e.-10.-15,1400-1499,188,80
e.-10.-15,1500-1599,174,100
e.-10.-15,1600-1699,174,67
e.-10.-15,1700-1799,145,88
e.-10.-15,1800-1899,143,73
e.-10.-15,1900-1999,133,61
e.-10.-15,2000-2099,128,53
e.-10.-15,2100-2199,127,68
e.-10.-15,2200-2299,119,67
e.-10.-15,2300-2399,114,53
e.-10.-15,2400-2499,116,52
e.-10.-15,2500-2599,87,67
e.-10.-15,2600-2699,110,32
e.-10.-15,2700-2799,92,23
e.-10.-15,2800-2899,93,42
e.-10.-15,2900-2999,94,39
e.-10.-15,3000-3099,55,30
e.-10.-15,3100-3199,48,20
e.-10.-15,3200-3299,40,23
e.-10.-15,3300-3399,49,20
e.-10.-15,3400-3499,25,16
e.-10.-15,3500-3599,26,2
e.-10.-15,3600-3699,22,7
e.-10.-15,3700-3799,18,6
e.-10.-15,3800-3899,17,4
e.-10.-15,3900-3999,2,0
e.-10.-15,4000-4099,2,1
f.-15.-20,0-99,0,0
f.-15.-20,100-199,73,31
f.-15.-20,200-299,162,84
f.-15.-20,300-399,121,65
f.-15.-20,400-499,146,49
f.-15.-20,500-599,146,59
f.-15.-20,600-699,140,35
f.-15.-20,700-799,129,56
f.-15.-20,800-899,182,61
f.-15.-20,900-999,147,60
f.-15.-20,1000-1099,126,53
f.-15.-20,1100-1199,116,28
f.-15.-20,1200-1299,175,62
f.-15.-20,1300-1399,123,68
f.-15.-20,1400-1499,130,67
f.-15.-20,1500-1599,130,68
f.-15.-20,1600-1699,88,30
f.-15.-20,1700-1799,101,38
f.-15.-20,1800-1899,93,26
f.-15.-20,1900-1999,87,38
f.-15.-20,2000-2099,99,48
f.-15.-20,2100-2199,88,43
f.-15.-20,2200-2299,84,48
f.-15.-20,2300-2399,78,47
f.-15.-20,2400-2499,67,32
f.-15.-20,2500-2599,59,22
f.-15.-20,2600-2699,55,25
f.-15.-20,2700-2799,25,15
f.-15.-20,2800-2899,30,21
f.-15.-20,2900-2999,35,18
f.-15.-20,3000-3099,31,8
f.-15.-20,3100-3199,27,10
f.-15.-20,3200-3299,18,8
f.-15.-20,3300-3399,23,6
f.-15.-20,3400-3499,10,8
f.-15.-20,3500-3599,5,4
f.-15.-20,3600-3699,9,4
f.-15.-20,3700-3799,5,2
f.-15.-20,3800-3899,7,1
f.-15.-20,3900-3999,2,2
f.-15.-20,4000-4099,0,0
g.-20.-25,0-99,0,0
g.-20.-25,100-199,3,0
g.-20.-25,200-299,8,2
g.-20.-25,300-399,21,7
g.-20.-25,400-499,25,9
g.-20.-25,500-599,20,7
g.-20.-25,600-699,30,11
g.-20.-25,700-799,27,13
g.-20.-25,800-899,29,18
g.-20.-25,900-999,43,14
g.-20.-25,1000-1099,34,15
g.-20.-25,1100-1199,37,16
g.-20.-25,1200-1299,27,13
g.-20.-25,1300-1399,48,15
g.-20.-25,1400-1499,37,10
g.-20.-25,1500-1599,26,7
g.-20.-25,1600-1699,36,6
g.-20.-25,1700-1799,13,10
g.-20.-25,1800-1899,26,6
g.-20.-25,1900-1999,27,6
g.-20.-25,2000-2099,11,1
g.-20.-25,2100-2199,11,1
g.-20.-25,2200-2299,5,0
g.-20.-25,2300-2399,6,1
g.-20.-25,2400-2499,4,1
g.-20.-25,2500-2599,5,0
g.-20.-25,2600-2699,3,0
g.-20.-25,2700-2799,2,0
g.-20.-25,2800-2899,1,0
g.-20.-25,2900-2999,1,0
g.-20.-25,3000-3099,2,0
g.-20.-25,3100-3199,0,0
g.-20.-25,3200-3299,1,0
g.-20.-25,3300-3399,0,0
