Region,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099,Total Unique Species
a.10.5,0,771,893,878,825,810,763,731,801,717,643,594,532,560,619,518,533,555,519,499,596,544,506,458,420,387,384,296,277,239,219,192,174,147,127,88,75,39,19,10,4,1811
b.5.0,0,710,1025,894,670,768,672,671,558,618,597,525,623,574,522,549,525,501,630,528,501,420,370,382,281,379,347,328,300,286,295,222,222,201,134,113,63,51,27,29,2,1901
c.0.-5,0,898,1053,794,713,571,541,380,448,551,564,495,468,346,360,472,398,411,382,368,502,433,314,324,292,279,270,259,245,220,216,166,131,93,75,50,34,31,20,18,8,1798
d.-5.-10,0,369,554,429,430,300,309,266,212,194,214,210,158,109,153,214,235,202,230,177,158,135,152,152,129,166,88,102,81,50,79,39,45,33,25,24,20,12,9,3,0,1354
e.-10.-15,0,540,810,711,728,512,489,532,516,548,494,446,457,313,409,421,312,331,361,319,279,289,334,253,299,207,201,188,200,182,124,102,88,98,61,46,33,26,26,3,3,1542
f.-15.-20,0,122,400,367,384,274,205,215,291,246,231,167,361,303,292,297,159,182,153,164,210,184,199,161,142,122,127,70,91,81,65,60,48,45,33,20,17,8,10,4,1,1035
g.-20.-25,0,3,13,37,48,32,55,47,64,80,74,66,52,85,64,40,46,32,38,38,20,14,6,7,5,5,3,3,1,1,2,0,1,0,0,0,0,0,0,0,0,183
All Regions,0,1327,1546,1485,1462,1429,1395,1346,1351,1377,1341,1271,1286,1168,1208,1224,1135,1146,1154,1054,1100,1036,975,874,814,818,729,623,633,529,505,397,379,337,250,195,140,95,71,49,15,2446
