species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Alchornea brittonii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea coelophylla,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea costaricensis,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea floribunda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea glandulosa,0,4,22,9,7,6,5,4,16,7,7,10,8,3,0,5,2,4,5,1,4,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea grandiflora,0,0,2,0,0,0,0,0,0,1,2,1,0,0,3,0,4,3,2,0,4,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea grandis,0,0,0,0,0,0,1,0,0,2,1,1,3,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea latifolia,0,2,13,1,1,1,0,2,2,6,1,2,3,0,2,3,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea pearcei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea triplinervia,0,6,19,7,3,1,1,0,0,2,2,5,1,2,3,5,3,3,6,1,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alchorneopsis floribunda,0,4,20,5,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibertia bertierifolia,0,4,18,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus amazonicus,0,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus coriaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus divaricatus,0,4,10,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus dodsonii,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus edulis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus excelsus,0,1,1,0,0,0,0,0,1,0,1,0,0,1,3,3,3,1,1,1,1,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus floribundus,0,3,17,3,7,1,1,2,0,2,2,0,0,0,0,1,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus glabratus,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus incanus,0,0,6,3,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus loretensis,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus pilosus,0,8,48,3,6,4,3,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus psilospermus,0,6,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Allophylus punctatus,0,1,8,0,3,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alnus acuminata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,2,5,9,5,5,9,4,7,8,10,15,11,6,1,0,0,0,0,1,0
Chrysophyllum venezuelanense,0,5,36,9,12,10,5,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciliosemina pedunculata,0,11,15,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinchona macrocalyx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,5,2,7,11,11,6,2,2,0,0,0,0,0,0,0,0
Cinchona officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,11,11,6,9,1,7,1,4,3,1,0,0,0,0,0,0,0,0,0,0
Cinchona pubescens,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,3,0,1,1,3,3,3,3,3,4,4,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0
Cinchonopsis amazonica,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cissus trianae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharexylum gentryi,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharexylum montanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Citronella incarum,0,0,25,3,7,0,5,0,2,4,4,3,4,0,0,0,2,3,3,2,3,2,1,3,3,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Citrus X aurantium,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Citrus limon,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarisia biflora,0,4,23,6,10,2,4,1,0,3,9,3,4,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
