species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Alchornea costaricensis,0,1,0,2,3,4,1,2,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea floribunda,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea glandulosa,0,1,0,6,7,5,6,5,5,2,1,3,1,4,6,4,4,7,6,4,8,4,7,6,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea grandiflora,0,0,0,1,0,0,1,4,3,0,0,0,2,2,1,0,1,3,5,1,6,3,8,11,7,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea grandis,0,0,0,0,1,1,0,3,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea latifolia,0,0,0,2,2,8,4,7,3,3,1,1,1,2,4,2,0,6,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea megalophylla,0,0,0,0,0,2,2,0,3,4,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea pearcei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea triplinervia,0,0,1,2,1,1,3,5,2,0,0,0,0,0,3,1,1,2,0,0,2,0,3,4,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alchornea verticillata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3,2,4,2,11,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Alchorneopsis floribunda,0,2,1,3,2,6,3,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alfaroa colombiana,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,4,3,1,5,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfaroa williamsii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibertia bertierifolia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
